topk,run,test nodes,fault coverage,node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
50,1,10,85.00,90.00,0.0000,0.0000,1,3
50,10,10,85.00,100.00,0.0000,0.0000,0,3
50,100,10,80.00,100.00,0.0000,0.0000,0,4
50,101,10,75.00,90.00,0.0000,0.0000,1,5
50,102,10,95.00,100.00,0.0000,0.0000,0,1
50,103,10,90.00,100.00,0.0000,0.0000,0,2
50,104,10,90.00,100.00,0.0000,0.0000,0,2
50,105,10,95.00,100.00,0.0000,0.0000,0,1
50,106,10,85.00,100.00,0.0000,0.0000,0,3
50,107,10,80.00,100.00,0.0000,0.0000,0,4
50,108,10,80.00,100.00,0.0000,0.0000,0,4
50,109,10,90.00,100.00,0.0000,0.0000,0,2
50,11,10,100.00,100.00,0.0000,0.0000,0,0
50,110,10,95.00,100.00,0.0000,0.0000,0,1
50,111,10,80.00,90.00,0.0000,0.0000,1,4
50,112,10,90.00,100.00,0.0000,0.0000,0,2
50,113,10,85.00,90.00,0.0000,0.0000,1,3
50,114,10,65.00,80.00,0.0000,0.0000,2,7
50,115,10,85.00,100.00,0.0000,0.0000,0,3
50,116,10,85.00,100.00,0.0000,0.0000,0,3
50,117,10,85.00,100.00,0.0000,0.0000,0,3
50,118,10,95.00,100.00,0.0000,0.0000,0,1
50,119,10,90.00,100.00,0.0000,0.0000,0,2
50,12,10,85.00,100.00,0.0000,0.0000,0,3
50,120,10,75.00,80.00,0.0000,0.0000,2,5
50,121,10,95.00,100.00,0.0000,0.0000,0,1
50,122,10,90.00,100.00,0.0000,0.0000,0,2
50,123,10,95.00,100.00,0.0000,0.0000,0,1
50,124,10,90.00,100.00,0.0000,0.0000,0,2
50,125,10,80.00,100.00,0.0000,0.0000,0,4
50,126,10,90.00,100.00,0.0000,0.0000,0,2
50,127,10,90.00,100.00,0.0000,0.0000,0,2
50,128,10,85.00,100.00,0.0000,0.0000,0,3
50,129,10,95.00,100.00,0.0000,0.0000,0,1
50,13,10,90.00,100.00,0.0000,0.0000,0,2
50,130,10,95.00,100.00,0.0000,0.0000,0,1
50,131,10,90.00,100.00,0.0000,0.0000,0,2
50,132,10,85.00,90.00,0.0000,0.0000,1,3
50,133,10,75.00,90.00,0.0000,0.0000,1,5
50,134,10,100.00,100.00,0.0000,0.0000,0,0
50,135,10,75.00,90.00,0.0000,0.0000,1,5
50,136,10,90.00,100.00,0.0000,0.0000,0,2
50,137,10,95.00,100.00,0.0000,0.0000,0,1
50,138,10,90.00,100.00,0.0000,0.0000,0,2
50,139,10,90.00,100.00,0.0000,0.0000,0,2
50,14,10,90.00,100.00,0.0000,0.0000,0,2
50,140,10,90.00,100.00,0.0000,0.0000,0,2
50,141,10,90.00,100.00,0.0000,0.0000,0,2
50,142,10,90.00,100.00,0.0000,0.0000,0,2
50,143,10,70.00,80.00,0.0000,0.0000,2,6
50,144,10,90.00,100.00,0.0000,0.0000,0,2
50,145,10,90.00,100.00,0.0000,0.0000,0,2
50,146,10,70.00,100.00,0.0000,0.0000,0,6
50,147,10,85.00,100.00,0.0000,0.0000,0,3
50,148,10,80.00,100.00,0.0000,0.0000,0,4
50,149,10,90.00,100.00,0.0000,0.0000,0,2
50,15,10,95.00,100.00,0.0000,0.0000,0,1
50,150,10,80.00,90.00,0.0000,0.0000,1,4
50,151,10,90.00,100.00,0.0000,0.0000,0,2
50,152,10,75.00,80.00,0.0000,0.0000,2,5
50,153,10,90.00,100.00,0.0000,0.0000,0,2
50,154,10,90.00,100.00,0.0000,0.0000,0,2
50,155,10,95.00,100.00,0.0000,0.0000,0,1
50,156,10,85.00,100.00,0.0000,0.0000,0,3
50,157,10,85.00,100.00,0.0000,0.0000,0,3
50,158,10,90.00,100.00,0.0000,0.0000,0,2
50,159,10,100.00,100.00,0.0000,0.0000,0,0
50,16,10,80.00,90.00,0.0000,0.0000,1,4
50,160,10,90.00,100.00,0.0000,0.0000,0,2
50,161,10,95.00,100.00,0.0000,0.0000,0,1
50,162,10,90.00,100.00,0.0000,0.0000,0,2
50,163,10,85.00,100.00,0.0000,0.0000,0,3
50,164,10,75.00,100.00,0.0000,0.0000,0,5
50,165,10,85.00,100.00,0.0000,0.0000,0,3
50,166,10,85.00,90.00,0.0000,0.0000,1,3
50,167,10,85.00,90.00,0.0000,0.0000,1,3
50,168,10,100.00,100.00,0.0000,0.0000,0,0
50,169,10,90.00,100.00,0.0000,0.0000,0,2
50,17,10,90.00,90.00,0.0000,0.0000,1,2
50,170,10,95.00,100.00,0.0000,0.0000,0,1
50,171,10,90.00,100.00,0.0000,0.0000,0,2
50,172,10,80.00,100.00,0.0000,0.0000,0,4
50,173,10,85.00,100.00,0.0000,0.0000,0,3
50,174,10,95.00,100.00,0.0000,0.0000,0,1
50,175,10,90.00,100.00,0.0000,0.0000,0,2
50,176,10,95.00,100.00,0.0000,0.0000,0,1
50,177,10,65.00,90.00,0.0000,0.0000,1,7
50,178,10,95.00,100.00,0.0000,0.0000,0,1
50,179,10,95.00,100.00,0.0000,0.0000,0,1
50,18,10,80.00,90.00,0.0000,0.0000,1,4
50,180,10,95.00,100.00,0.0000,0.0000,0,1
50,181,10,100.00,100.00,0.0000,0.0000,0,0
50,182,10,85.00,100.00,0.0000,0.0000,0,3
50,183,10,80.00,100.00,0.0000,0.0000,0,4
50,184,10,85.00,90.00,0.0000,0.0000,1,3
50,185,10,90.00,100.00,0.0000,0.0000,0,2
50,186,10,100.00,100.00,0.0000,0.0000,0,0
50,187,10,90.00,100.00,0.0000,0.0000,0,2
50,188,10,90.00,100.00,0.0000,0.0000,0,2
50,189,10,85.00,100.00,0.0000,0.0000,0,3
50,19,10,80.00,100.00,0.0000,0.0000,0,4
50,190,10,90.00,100.00,0.0000,0.0000,0,2
50,191,10,90.00,100.00,0.0000,0.0000,0,2
50,192,10,85.00,100.00,0.0000,0.0000,0,3
50,193,10,85.00,100.00,0.0000,0.0000,0,3
50,194,10,95.00,100.00,0.0000,0.0000,0,1
50,195,10,90.00,100.00,0.0000,0.0000,0,2
50,196,10,90.00,100.00,0.0000,0.0000,0,2
50,197,10,70.00,100.00,0.0000,0.0000,0,6
50,198,10,90.00,100.00,0.0000,0.0000,0,2
50,199,10,90.00,100.00,0.0000,0.0000,0,2
50,2,10,85.00,100.00,0.0000,0.0000,0,3
50,20,10,85.00,100.00,0.0000,0.0000,0,3
50,200,10,85.00,100.00,0.0000,0.0000,0,3
50,21,10,85.00,100.00,0.0000,0.0000,0,3
50,22,10,85.00,100.00,0.0000,0.0000,0,3
50,23,10,80.00,90.00,0.0000,0.0000,1,4
50,24,10,95.00,100.00,0.0000,0.0000,0,1
50,25,10,75.00,90.00,0.0000,0.0000,1,5
50,26,10,90.00,100.00,0.0000,0.0000,0,2
50,27,10,80.00,90.00,0.0000,0.0000,1,4
50,28,10,95.00,100.00,0.0000,0.0000,0,1
50,29,10,95.00,100.00,0.0000,0.0000,0,1
50,3,10,80.00,100.00,0.0000,0.0000,0,4
50,30,10,85.00,90.00,0.0000,0.0000,1,3
50,31,10,90.00,100.00,0.0000,0.0000,0,2
50,32,10,85.00,100.00,0.0000,0.0000,0,3
50,33,10,90.00,100.00,0.0000,0.0000,0,2
50,34,10,85.00,100.00,0.0000,0.0000,0,3
50,35,10,95.00,100.00,0.0000,0.0000,0,1
