num_nodes,tested_nodes,fault_coverage(%),node_coverage(%),avg_rmse,max_rmse,detected_nodes,detected_faults,escaped_nodes,escaped_faults
1,1,100.00,100.00,0.0000,0.0000,1,2,0,0
2,2,100.00,100.00,0.0000,0.0000,2,4,0,0
3,3,100.00,100.00,0.0000,0.0000,3,6,0,0
4,4,87.50,100.00,0.0000,0.0000,4,7,0,1
5,5,80.00,100.00,0.0000,0.0000,5,8,0,2
6,6,75.00,100.00,0.0000,0.0000,6,9,0,3
7,7,78.57,100.00,0.0000,0.0000,7,11,0,3
8,8,81.25,100.00,0.0000,0.0000,8,13,0,3
9,9,83.33,100.00,0.0000,0.0000,9,15,0,3
10,10,85.00,100.00,0.0000,0.0000,10,17,0,3
11,11,86.36,100.00,0.0000,0.0000,11,19,0,3
12,12,87.50,100.00,0.0000,0.0000,12,21,0,3
13,13,88.46,100.00,0.0000,0.0000,13,23,0,3
14,14,89.29,100.00,0.0000,0.0000,14,25,0,3
15,15,90.00,100.00,0.0000,0.0000,15,27,0,3
16,16,90.62,100.00,0.0000,0.0000,16,29,0,3
17,17,91.18,100.00,0.0000,0.0000,17,31,0,3
18,18,91.67,100.00,0.0000,0.0000,18,33,0,3
19,19,92.11,100.00,0.0000,0.0000,19,35,0,3
20,20,92.50,100.00,0.0000,0.0000,20,37,0,3
21,21,92.86,100.00,0.0000,0.0000,21,39,0,3
22,22,93.18,100.00,0.0000,0.0000,22,41,0,3
23,23,93.48,100.00,0.0000,0.0000,23,43,0,3
24,24,93.75,100.00,0.0000,0.0000,24,45,0,3
25,25,94.00,100.00,0.0000,0.0000,25,47,0,3
26,26,94.23,100.00,0.0000,0.0000,26,49,0,3
27,27,94.44,100.00,0.0000,0.0000,27,51,0,3
28,28,94.64,100.00,0.0000,0.0000,28,53,0,3
29,29,94.83,100.00,0.0000,0.0000,29,55,0,3
30,30,95.00,100.00,0.0000,0.0000,30,57,0,3
31,31,93.55,100.00,0.0000,0.0000,31,58,0,4
32,32,92.19,100.00,0.0000,0.0000,32,59,0,5
33,33,90.91,100.00,0.0000,0.0000,33,60,0,6
34,34,91.18,100.00,0.0000,0.0000,34,62,0,6
35,35,91.43,100.00,0.0000,0.0000,35,64,0,6
36,36,91.67,100.00,0.0000,0.0000,36,66,0,6
37,37,91.89,100.00,0.0000,0.0000,37,68,0,6
38,38,92.11,100.00,0.0000,0.0000,38,70,0,6
39,39,92.31,100.00,0.0000,0.0000,39,72,0,6
40,40,92.50,100.00,0.0000,0.0000,40,74,0,6
41,41,92.68,100.00,0.0000,0.0000,41,76,0,6
42,42,92.86,100.00,0.0000,0.0000,42,78,0,6
43,43,91.86,100.00,0.0000,0.0000,43,79,0,7
44,44,92.05,100.00,0.0000,0.0000,44,81,0,7
45,45,92.22,100.00,0.0000,0.0000,45,83,0,7
46,46,92.39,100.00,0.0000,0.0000,46,85,0,7
47,47,92.55,100.00,0.0000,0.0000,47,87,0,7
48,48,92.71,100.00,0.0000,0.0000,48,89,0,7
49,49,92.86,100.00,0.0000,0.0000,49,91,0,7
50,50,93.00,100.00,0.0000,0.0000,50,93,0,7
