topk,tested_nodes,fault_coverage(%),node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
5,1,50.00,100.00,0.0000,0.0000,0,1
10,2,100.00,100.00,0.0000,0.0000,0,0
15,3,100.00,100.00,0.0000,0.0000,0,0
20,4,100.00,100.00,0.0000,0.0000,0,0
25,5,100.00,100.00,0.0000,0.0000,0,0
30,6,100.00,100.00,0.0000,0.0000,0,0
35,7,92.86,100.00,0.0000,0.0000,0,1
40,8,100.00,100.00,0.0000,0.0000,0,0
45,9,100.00,100.00,0.0000,0.0000,0,0
50,10,95.00,100.00,0.0000,0.0000,0,1
55,11,90.91,100.00,0.0000,0.0000,0,2
60,12,91.67,100.00,0.0000,0.0000,0,2
65,13,88.46,100.00,0.0000,0.0000,0,3
70,14,89.29,100.00,0.0000,0.0000,0,3
75,15,90.00,100.00,0.0000,0.0000,0,3
80,16,87.50,100.00,0.0000,0.0000,0,4
85,17,88.24,100.00,0.0000,0.0000,0,4
90,18,86.11,100.00,0.0000,0.0000,0,5
95,19,84.21,100.00,0.0000,0.0000,0,6
100,20,80.00,100.00,0.0000,0.0000,0,8
105,21,85.71,100.00,0.0000,0.0000,0,6
110,22,79.55,100.00,0.0000,0.0000,0,9
115,23,80.43,100.00,0.0000,0.0000,0,9
120,24,79.17,100.00,0.0000,0.0000,0,10
125,25,78.00,100.00,0.0000,0.0000,0,11
130,26,78.85,100.00,0.0000,0.0000,0,11
135,27,79.63,100.00,0.0000,0.0000,0,11
140,28,80.36,100.00,0.0000,0.0000,0,11
145,29,79.31,100.00,0.0000,0.0000,0,12
150,30,80.00,100.00,0.0000,0.0000,0,12
155,31,80.65,100.00,0.0000,0.0000,0,12
160,32,82.81,100.00,0.0000,0.0000,0,11
165,33,83.33,100.00,0.0000,0.0000,0,11
170,34,82.35,100.00,0.0000,0.0000,0,12
175,35,82.86,100.00,0.0000,0.0000,0,12
180,36,83.33,100.00,0.0000,0.0000,0,12
185,37,82.43,100.00,0.0000,0.0000,0,13
190,38,82.89,100.00,0.0000,0.0000,0,13
195,39,80.77,100.00,0.0000,0.0000,0,15
200,40,81.25,100.00,0.0000,0.0000,0,15
205,41,80.49,100.00,0.0000,0.0000,0,16
210,42,79.76,100.00,0.0000,0.0000,0,17
215,43,80.23,100.00,0.0000,0.0000,0,17
220,44,80.68,100.00,0.0000,0.0000,0,17
225,45,80.00,100.00,0.0000,0.0000,0,18
230,46,77.17,100.00,0.0000,0.0000,0,21
235,47,79.79,97.87,0.0000,0.0000,1,19
240,48,78.12,100.00,0.0000,0.0000,0,21
245,49,78.57,95.92,0.0000,0.0000,2,21
250,50,76.00,98.00,0.0000,0.0000,1,24
255,51,75.49,96.08,0.0000,0.0000,2,25
260,52,76.92,98.08,0.0000,0.0000,1,24
265,53,77.36,98.11,0.0000,0.0000,1,24
270,54,73.15,96.30,0.0000,0.0000,2,29
275,55,73.64,96.36,0.0000,0.0000,2,29
280,56,74.11,98.21,0.0000,0.0000,1,29
285,57,75.44,96.49,0.0000,0.0000,2,28
290,58,75.00,96.55,0.0000,0.0000,2,29
295,59,71.19,94.92,0.0000,0.0000,3,34
300,60,70.00,91.67,0.0000,0.0000,5,36
305,61,72.95,96.72,0.0000,0.0000,2,33
310,62,70.97,95.16,0.0000,0.0000,3,36
315,63,71.43,93.65,0.0000,0.0000,4,36
320,64,72.66,95.31,0.0000,0.0000,3,35
325,65,71.54,95.38,0.0000,0.0000,3,37
330,66,71.97,93.94,0.0000,0.0000,4,37
335,67,70.90,94.03,0.0000,0.0000,4,39
340,68,70.59,92.65,0.0000,0.0000,5,40
345,69,67.39,91.30,0.0000,0.0000,6,45
350,70,69.29,92.86,0.0000,0.0000,5,43
355,71,73.24,97.18,0.0000,0.0000,2,38
360,72,71.53,97.22,0.0000,0.0000,2,41
