topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n1069,1,1,0,2,0,100.00,100.00
2,n1061,2,2,0,4,0,100.00,100.00
3,n1077,3,3,0,6,0,100.00,100.00
4,n1037,4,4,0,8,0,100.00,100.00
5,n1045,5,5,0,10,0,100.00,100.00
6,n1053,6,6,0,12,0,100.00,100.00
7,n1029,7,7,0,14,0,100.00,100.00
8,n1085,8,8,0,16,0,100.00,100.00
9,n1021,9,9,0,18,0,100.00,100.00
10,n1013,10,10,0,20,0,100.00,100.00
11,n1093,11,11,0,22,0,100.00,100.00
12,n1005,12,12,0,24,0,100.00,100.00
13,n1101,13,13,0,26,0,100.00,100.00
14,n1109,14,14,0,28,0,100.00,100.00
15,n997,15,15,0,30,0,100.00,100.00
16,n981,16,16,0,32,0,100.00,100.00
17,n973,17,17,0,34,0,100.00,100.00
18,n989,18,18,0,36,0,100.00,100.00
19,n1117,19,19,0,38,0,100.00,100.00
20,n965,20,20,0,40,0,100.00,100.00
21,n957,21,21,0,42,0,100.00,100.00
22,n949,22,22,0,44,0,100.00,100.00
23,n1125,23,23,0,46,0,100.00,100.00
24,n941,24,24,0,48,0,100.00,100.00
25,n1133,25,25,0,50,0,100.00,100.00
26,n933,26,26,0,52,0,100.00,100.00
27,n1141,27,27,0,54,0,100.00,100.00
28,n925,28,28,0,56,0,100.00,100.00
29,n1149,29,29,0,58,0,100.00,100.00
30,n917,30,30,0,60,0,100.00,100.00
31,n1157,31,31,0,62,0,100.00,100.00
32,n909,32,32,0,64,0,100.00,100.00
33,n901,33,33,0,66,0,100.00,100.00
34,n1165,34,34,0,68,0,100.00,100.00
35,n893,35,35,0,70,0,100.00,100.00
36,n1173,36,36,0,72,0,100.00,100.00
37,n885,37,37,0,74,0,100.00,100.00
38,n1181,38,38,0,76,0,100.00,100.00
39,n877,39,39,0,78,0,100.00,100.00
40,n1189,40,40,0,80,0,100.00,100.00
41,n869,41,41,0,82,0,100.00,100.00
42,n1197,42,42,0,84,0,100.00,100.00
43,n861,43,43,0,86,0,100.00,100.00
44,n1205,44,44,0,88,0,100.00,100.00
45,n853,45,45,0,90,0,100.00,100.00
46,n1213,46,46,0,92,0,100.00,100.00
47,n845,47,47,0,94,0,100.00,100.00
48,n1221,48,48,0,96,0,100.00,100.00
49,n837,49,49,0,98,0,100.00,100.00
50,n1229,50,50,0,100,0,100.00,100.00
51,n829,51,51,0,102,0,100.00,100.00
52,n1237,52,52,0,104,0,100.00,100.00
53,n821,53,53,0,106,0,100.00,100.00
54,n813,54,54,0,108,0,100.00,100.00
55,n1245,55,55,0,110,0,100.00,100.00
56,n805,56,56,0,112,0,100.00,100.00
57,n1253,57,57,0,114,0,100.00,100.00
58,n1261,58,58,0,116,0,100.00,100.00
59,n797,59,59,0,118,0,100.00,100.00
60,n789,60,60,0,120,0,100.00,100.00
61,n1269,61,61,0,122,0,100.00,100.00
62,n781,62,62,0,124,0,100.00,100.00
63,n1277,63,63,0,126,0,100.00,100.00
64,n773,64,64,0,128,0,100.00,100.00
65,n765,65,65,0,130,0,100.00,100.00
66,n757,66,66,0,132,0,100.00,100.00
67,n1285,67,67,0,134,0,100.00,100.00
68,n749,68,68,0,136,0,100.00,100.00
69,n1293,69,69,0,138,0,100.00,100.00
70,n741,70,70,0,140,0,100.00,100.00
71,n1301,71,71,0,142,0,100.00,100.00
72,n733,72,72,0,144,0,100.00,100.00
73,n1309,73,73,0,146,0,100.00,100.00
74,n725,74,74,0,148,0,100.00,100.00
75,n1317,75,75,0,150,0,100.00,100.00
76,n717,76,76,0,152,0,100.00,100.00
77,n709,77,77,0,154,0,100.00,100.00
78,n701,78,78,0,156,0,100.00,100.00
79,n1325,79,79,0,158,0,100.00,100.00
80,n693,80,80,0,160,0,100.00,100.00
81,n685,81,81,0,162,0,100.00,100.00
82,n1333,82,82,0,164,0,100.00,100.00
83,n677,83,83,0,166,0,100.00,100.00
84,n1349,84,84,0,168,0,100.00,100.00
85,n1341,85,85,0,170,0,100.00,100.00
86,n1357,86,86,0,172,0,100.00,100.00
87,n669,87,87,0,174,0,100.00,100.00
88,n661,88,88,0,176,0,100.00,100.00
89,n1365,89,89,0,178,0,100.00,100.00
90,n653,90,90,0,180,0,100.00,100.00
91,n645,91,91,0,182,0,100.00,100.00
92,n637,92,92,0,184,0,100.00,100.00
93,n629,93,93,0,186,0,100.00,100.00
94,n621,94,94,0,188,0,100.00,100.00
95,n613,95,95,0,190,0,100.00,100.00
96,n1373,96,96,0,192,0,100.00,100.00
97,n605,97,97,0,194,0,100.00,100.00
98,n597,98,98,0,196,0,100.00,100.00
99,n1068,99,99,0,198,0,100.00,100.00
100,n1076,100,100,0,200,0,100.00,100.00
101,n1036,101,101,0,202,0,100.00,100.00
102,n1044,102,102,0,204,0,100.00,100.00
103,n1060,103,103,0,206,0,100.00,100.00
104,n1052,104,104,0,208,0,100.00,100.00
105,n1084,105,105,0,210,0,100.00,100.00
106,n1028,106,106,0,212,0,100.00,100.00
107,n1020,107,107,0,214,0,100.00,100.00
108,n1092,108,108,0,216,0,100.00,100.00
109,n589,109,109,0,218,0,100.00,100.00
110,n1012,110,110,0,220,0,100.00,100.00
111,n1004,111,111,0,222,0,100.00,100.00
112,n1100,112,112,0,224,0,100.00,100.00
113,n996,113,113,0,226,0,100.00,100.00
