topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n771,1,1,0,2,0,100.00,100.00
2,n1380,2,2,0,4,0,100.00,100.00
3,anyGrant,3,3,0,6,0,100.00,100.00
4,n420,4,4,0,8,0,100.00,100.00
5,n1088,5,5,0,10,0,100.00,100.00
6,n755,6,6,0,12,0,100.00,100.00
7,n1188,7,7,0,14,0,100.00,100.00
8,n1015,8,8,0,16,0,100.00,100.00
9,n1208,9,9,0,18,0,100.00,100.00
10,n751,10,10,0,20,0,100.00,100.00
11,n1220,11,11,0,22,0,100.00,100.00
12,n476,12,12,0,24,0,100.00,100.00
13,n708,13,13,0,26,0,100.00,100.00
14,n1520,14,13,1,26,2,92.86,92.86
15,n1518,15,13,2,26,4,86.67,86.67
16,n1516,16,13,3,26,6,81.25,81.25
17,n1522,17,13,4,26,8,76.47,76.47
18,n1524,18,13,5,26,10,72.22,72.22
19,n1514,19,13,6,26,12,68.42,68.42
20,n1526,20,13,7,26,14,65.00,65.00
21,n1528,21,13,8,26,16,61.90,61.90
22,n392,22,14,8,28,16,63.64,63.64
23,n400,23,15,8,30,16,65.22,65.22
24,n1530,24,15,9,30,18,62.50,62.50
25,n720,25,16,9,32,18,64.00,64.00
26,n731,26,17,9,34,18,65.38,65.38
27,n739,27,18,9,36,18,66.67,66.67
28,n11429,28,19,9,37,19,67.86,66.07
29,n11431,29,20,9,39,19,68.97,67.24
30,n11423,30,20,10,39,21,66.67,65.00
31,n11425,31,20,11,39,23,64.52,62.90
32,n424,32,21,11,41,23,65.62,64.06
33,n440,33,22,11,43,23,66.67,65.15
34,n456,34,23,11,45,23,67.65,66.18
35,n472,35,24,11,47,23,68.57,67.14
36,n408,36,25,11,49,23,69.44,68.06
37,n416,37,26,11,51,23,70.27,68.92
38,n432,38,27,11,53,23,71.05,69.74
39,n448,39,28,11,55,23,71.79,70.51
40,n464,40,29,11,57,23,72.50,71.25
41,n480,41,30,11,59,23,73.17,71.95
42,n11433,42,31,11,61,23,73.81,72.62
43,n1059,43,32,11,63,23,74.42,73.26
44,n1068,44,33,11,65,23,75.00,73.86
