topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n1634,1,1,0,2,0,100.00,100.00
2,n1061,2,2,0,4,0,100.00,100.00
3,n2075,3,3,0,6,0,100.00,100.00
4,n571,4,4,0,8,0,100.00,100.00
5,n1977,5,5,0,10,0,100.00,100.00
6,n2140,6,6,0,12,0,100.00,100.00
7,n2432,7,7,0,14,0,100.00,100.00
8,n1783,8,8,0,16,0,100.00,100.00
9,n1301,9,9,0,18,0,100.00,100.00
10,n2250,10,10,0,20,0,100.00,100.00
11,n1064,11,11,0,22,0,100.00,100.00
12,n1671,12,12,0,24,0,100.00,100.00
13,n2286,13,13,0,26,0,100.00,100.00
14,n2396,14,14,0,28,0,100.00,100.00
15,n1637,15,15,0,30,0,100.00,100.00
16,n2578,16,16,0,32,0,100.00,100.00
17,n1831,17,17,0,34,0,100.00,100.00
18,n506,18,18,0,36,0,100.00,100.00
19,n2542,19,19,0,38,0,100.00,100.00
20,n1958,20,20,0,40,0,100.00,100.00
21,n1526,21,21,0,42,0,100.00,100.00
22,n586,22,22,0,44,0,100.00,100.00
23,n2104,23,23,0,46,0,100.00,100.00
24,n1994,24,24,0,48,0,100.00,100.00
25,n1498,25,25,0,50,0,100.00,100.00
26,n2269,26,26,0,52,0,100.00,100.00
27,n1402,27,27,0,54,0,100.00,100.00
28,n2367,28,28,0,56,0,100.00,100.00
29,n2452,29,29,0,58,0,100.00,100.00
30,n1192,30,30,0,60,0,100.00,100.00
31,n1803,31,31,0,62,0,100.00,100.00
32,n1758,32,32,0,64,0,100.00,100.00
33,n3261,33,33,0,66,0,100.00,100.00
34,n1707,34,34,0,68,0,100.00,100.00
35,n1876,35,35,0,70,0,100.00,100.00
36,n1966,36,36,0,72,0,100.00,100.00
37,n2258,37,37,0,74,0,100.00,100.00
38,n1912,38,38,0,76,0,100.00,100.00
39,n2002,39,39,0,78,0,100.00,100.00
40,n1076,40,40,0,80,0,100.00,100.00
41,n1598,41,41,0,82,0,100.00,100.00
42,n1116,42,42,0,84,0,100.00,100.00
43,n799,43,43,0,86,0,100.00,100.00
44,n2550,44,44,0,88,0,100.00,100.00
45,n1011,45,45,0,90,0,100.00,100.00
46,n3329,46,46,0,92,0,100.00,100.00
47,n3057,47,47,0,94,0,100.00,100.00
48,n2989,48,48,0,96,0,100.00,100.00
49,n688,49,49,0,98,0,100.00,100.00
50,n2586,50,50,0,100,0,100.00,100.00
51,n1304,51,51,0,102,0,100.00,100.00
52,n1590,52,52,0,104,0,100.00,100.00
53,n1674,53,53,0,106,0,100.00,100.00
54,n2561,54,54,0,108,0,100.00,100.00
55,n691,55,55,0,110,0,100.00,100.00
56,n1710,56,56,0,112,0,100.00,100.00
57,n3193,57,57,0,114,0,100.00,100.00
58,n771,58,58,0,116,0,100.00,100.00
59,n2379,59,59,0,118,0,100.00,100.00
60,n996,60,60,0,120,0,100.00,100.00
61,n2387,61,61,0,122,0,100.00,100.00
62,n1812,62,62,0,124,0,100.00,100.00
63,n1189,63,63,0,126,0,100.00,100.00
64,n3125,64,64,0,128,0,100.00,100.00
65,n1848,65,65,0,130,0,100.00,100.00
66,n1413,66,66,0,132,0,100.00,100.00
67,n2005,67,67,0,134,0,100.00,100.00
68,n3397,68,68,0,136,0,100.00,100.00
69,n1601,69,69,0,138,0,100.00,100.00
70,n2095,70,70,0,140,0,100.00,100.00
71,n3363,71,71,0,142,0,100.00,100.00
72,n2294,72,72,0,144,0,100.00,100.00
73,n2160,73,73,0,146,0,100.00,100.00
74,n2233,74,74,0,148,0,100.00,100.00
75,n2488,75,75,0,150,0,100.00,100.00
76,n1713,76,76,0,152,0,100.00,100.00
77,n3295,77,77,0,154,0,100.00,100.00
78,n2785,78,78,0,156,0,100.00,100.00
79,n2261,79,79,0,158,0,100.00,100.00
80,n2853,80,80,0,160,0,100.00,100.00
81,n534,81,81,0,162,0,100.00,100.00
82,n1119,82,82,0,164,0,100.00,100.00
83,n959,83,83,0,166,0,100.00,100.00
84,n3091,84,84,0,168,0,100.00,100.00
85,n2725,85,85,0,170,0,100.00,100.00
86,n2921,86,86,0,172,0,100.00,100.00
87,n2717,87,87,0,174,0,100.00,100.00
88,n1929,88,88,0,176,0,100.00,100.00
89,n2513,89,89,0,178,0,100.00,100.00
90,n639,90,90,0,180,0,100.00,100.00
91,n2657,91,91,0,182,0,100.00,100.00
92,n2407,92,92,0,184,0,100.00,100.00
93,n3227,93,93,0,186,0,100.00,100.00
94,n2359,94,94,0,188,0,100.00,100.00
95,n3159,95,95,0,190,0,100.00,100.00
96,n2196,96,96,0,192,0,100.00,100.00
97,n1515,97,97,0,194,0,100.00,100.00
98,n2221,98,98,0,196,0,100.00,100.00
99,n1786,99,99,0,198,0,100.00,100.00
100,n2213,100,100,0,200,0,100.00,100.00
101,n2342,101,101,0,202,0,100.00,100.00
102,n2819,102,102,0,204,0,100.00,100.00
103,n1856,103,103,0,206,0,100.00,100.00
104,n2589,104,104,0,208,0,100.00,100.00
105,n2050,105,105,0,210,0,100.00,100.00
106,n3023,106,106,0,212,0,100.00,100.00
107,n2980,107,107,0,214,0,100.00,100.00
108,n2297,108,108,0,216,0,100.00,100.00
109,n2793,109,109,0,218,0,100.00,100.00
110,n2415,110,110,0,220,0,100.00,100.00
111,n2078,111,111,0,222,0,100.00,100.00
112,n2123,112,112,0,224,0,100.00,100.00
113,n2533,113,113,0,226,0,100.00,100.00
114,n2115,114,114,0,228,0,100.00,100.00
115,n2440,115,115,0,230,0,100.00,100.00
116,n1859,116,116,0,232,0,100.00,100.00
117,n2553,117,117,0,234,0,100.00,100.00
118,n3278,118,118,0,236,0,100.00,100.00
119,n694,119,119,0,238,0,100.00,100.00
120,n1969,120,120,0,240,0,100.00,100.00
121,n2827,121,121,0,242,0,100.00,100.00
122,n2963,122,122,0,244,0,100.00,100.00
123,n2443,123,123,0,246,0,100.00,100.00
124,n1453,124,124,0,248,0,100.00,100.00
125,n3116,125,125,0,250,0,100.00,100.00
126,n2751,126,126,0,252,0,100.00,100.00
127,n2895,127,127,0,254,0,100.00,100.00
128,n2623,128,128,0,256,0,100.00,100.00
129,n2649,129,129,0,258,0,100.00,100.00
130,n852,130,130,0,260,0,100.00,100.00
131,n2929,131,131,0,262,0,100.00,100.00
132,n2067,132,132,0,264,0,100.00,100.00
133,n2844,133,133,0,266,0,100.00,100.00
134,n2997,134,134,0,268,0,100.00,100.00
135,n3252,135,135,0,270,0,100.00,100.00
136,n1932,136,136,0,272,0,100.00,100.00
137,n3337,137,137,0,274,0,100.00,100.00
138,n2151,138,138,0,276,0,100.00,100.00
139,n3346,139,139,0,278,0,100.00,100.00
140,n2691,140,140,0,280,0,100.00,100.00
141,n2759,141,141,0,282,0,100.00,100.00
142,n2861,142,142,0,284,0,100.00,100.00
143,n3210,143,143,0,286,0,100.00,100.00
144,n2606,144,144,0,288,0,100.00,100.00
145,n1337,145,145,0,290,0,100.00,100.00
146,n1374,146,146,0,292,0,100.00,100.00
147,n1393,147,147,0,294,0,100.00,100.00
148,n1646,148,148,0,296,0,100.00,100.00
149,n1690,149,149,0,298,0,100.00,100.00
150,n1008,150,150,0,300,0,100.00,100.00
151,n1101,151,151,0,302,0,100.00,100.00
152,n1055,152,152,0,303,1,100.00,99.67
153,n2370,153,153,0,305,1,100.00,99.67
154,n2912,154,154,0,307,1,100.00,99.68
155,n3405,155,155,0,309,1,100.00,99.68
156,n3006,156,156,0,311,1,100.00,99.68
157,n2615,157,157,0,313,1,100.00,99.68
158,n1450,158,158,0,315,1,100.00,99.68
159,n904,159,159,0,317,1,100.00,99.69
160,n3065,160,160,0,319,1,100.00,99.69
161,n3048,161,161,0,321,1,100.00,99.69
162,n546,162,162,0,323,1,100.00,99.69
163,n611,163,163,0,325,1,100.00,99.69
164,n931,164,164,0,327,1,100.00,99.70
165,n3142,165,165,0,329,1,100.00,99.70
166,n2683,166,166,0,331,1,100.00,99.70
167,n2887,167,167,0,333,1,100.00,99.70
168,n1565,168,168,0,335,1,100.00,99.70
169,n2776,169,169,0,337,1,100.00,99.70
170,n1766,170,170,0,339,1,100.00,99.71
171,n2148,171,171,0,341,1,100.00,99.71
172,n1276,172,172,0,343,1,100.00,99.71
173,n1312,173,173,0,345,1,100.00,99.71
174,n1461,174,174,0,347,1,100.00,99.71
175,n3099,175,175,0,349,1,100.00,99.71
176,n1036,176,176,0,351,1,100.00,99.72
177,n1088,177,177,0,353,1,100.00,99.72
178,n2224,178,178,0,355,1,100.00,99.72
179,n2708,179,179,0,357,1,100.00,99.72
180,n3312,180,180,0,359,1,100.00,99.72
181,n2168,181,181,0,361,1,100.00,99.72
182,n494,182,182,0,363,1,100.00,99.73
183,n583,183,183,0,365,1,100.00,99.73
184,n759,184,184,0,367,1,100.00,99.73
185,n983,185,185,0,369,1,100.00,99.73
186,n1985,186,186,0,371,1,100.00,99.73
187,n301,187,187,0,373,1,100.00,99.73
188,n2323,188,188,0,375,1,100.00,99.73
189,n1416,189,189,0,377,1,100.00,99.74
190,n1523,190,190,0,379,1,100.00,99.74
191,n2496,191,191,0,381,1,100.00,99.74
192,n3074,192,192,0,383,1,100.00,99.74
193,n2955,193,193,0,385,1,100.00,99.74
194,n2516,194,194,0,387,1,100.00,99.74
195,n2640,195,195,0,389,1,100.00,99.74
196,n1921,196,196,0,391,1,100.00,99.74
197,n2505,197,197,0,393,1,100.00,99.75
198,n3184,198,198,0,395,1,100.00,99.75
199,n1562,199,199,0,397,1,100.00,99.75
200,n1941,200,200,0,399,1,100.00,99.75
201,n2087,201,201,0,401,1,100.00,99.75
202,n3031,202,202,0,403,1,100.00,99.75
203,n3269,203,203,0,405,1,100.00,99.75
204,n1868,204,204,0,407,1,100.00,99.75
205,n1113,205,205,0,409,1,100.00,99.76
206,n1226,206,206,0,411,1,100.00,99.76
207,n1293,207,207,0,413,1,100.00,99.76
208,n1486,208,208,0,415,1,100.00,99.76
209,n1534,209,209,0,417,1,100.00,99.76
210,n1839,210,210,0,419,1,100.00,99.76
211,n2460,211,211,0,421,1,100.00,99.76
212,n3371,212,212,0,423,1,100.00,99.76
213,n2241,213,213,0,425,1,100.00,99.77
214,n397,214,214,0,427,1,100.00,99.77
215,n636,215,215,0,429,1,100.00,99.77
216,n784,216,216,0,431,1,100.00,99.77
217,n812,217,217,0,433,1,100.00,99.77
218,n849,218,218,0,435,1,100.00,99.77
219,n944,219,219,0,437,1,100.00,99.77
220,n1823,220,220,0,439,1,100.00,99.77
221,n3201,221,221,0,441,1,100.00,99.77
222,n3133,222,222,0,443,1,100.00,99.77
223,n3380,223,223,0,445,1,100.00,99.78
224,n3167,224,224,0,447,1,100.00,99.78
225,n3388,225,225,0,449,1,100.00,99.78
226,n2734,226,226,0,451,1,100.00,99.78
227,n2700,227,227,0,453,1,100.00,99.78
228,n1377,228,228,0,455,1,100.00,99.78
229,n3040,229,229,0,457,1,100.00,99.78
230,n1904,230,230,0,459,1,100.00,99.78
231,n2674,231,231,0,461,1,100.00,99.78
232,n1153,232,232,0,463,1,100.00,99.78
233,n1164,233,233,0,465,1,100.00,99.79
234,n1181,234,234,0,467,1,100.00,99.79
235,n1542,235,235,0,469,1,100.00,99.79
236,n1609,236,236,0,471,1,100.00,99.79
237,n1617,237,237,0,473,1,100.00,99.79
238,n1626,238,238,0,475,1,100.00,99.79
239,n1663,239,239,0,477,1,100.00,99.79
240,n1682,240,240,0,479,1,100.00,99.79
241,n3303,241,241,0,481,1,100.00,99.79
242,n2938,242,242,0,483,1,100.00,99.79
243,n3320,243,243,0,485,1,100.00,99.79
244,n450,244,244,0,487,1,100.00,99.80
245,n651,245,245,0,489,1,100.00,99.80
246,n663,246,246,0,491,1,100.00,99.80
247,n707,247,247,0,493,1,100.00,99.80
248,n2188,248,248,0,495,1,100.00,99.80
249,n2480,249,249,0,497,1,100.00,99.80
250,n318,250,250,0,499,1,100.00,99.80
251,n2878,251,251,0,501,1,100.00,99.80
252,n2768,252,252,0,503,1,100.00,99.80
253,n2569,253,253,0,505,1,100.00,99.80
254,n2870,254,254,0,507,1,100.00,99.80
255,n2802,255,255,0,509,1,100.00,99.80
256,n3235,256,256,0,511,1,100.00,99.80
257,n1896,257,257,0,513,1,100.00,99.81
258,n2742,258,258,0,515,1,100.00,99.81
259,n3244,259,259,0,517,1,100.00,99.81
260,n907,260,260,0,519,1,100.00,99.81
261,n2810,261,261,0,521,1,100.00,99.81
262,n1268,262,262,0,523,1,100.00,99.81
263,n1136,263,263,0,525,1,100.00,99.81
264,n1245,264,264,0,527,1,100.00,99.81
265,n1254,265,265,0,529,1,100.00,99.81
266,n1366,266,266,0,531,1,100.00,99.81
267,n1385,267,267,0,533,1,100.00,99.81
268,n1433,268,268,0,535,1,100.00,99.81
269,n1559,269,269,0,537,1,100.00,99.81
270,n2632,270,270,0,539,1,100.00,99.81
271,n624,271,271,0,541,1,100.00,99.82
272,n796,272,272,0,543,1,100.00,99.82
273,n876,273,273,0,545,1,100.00,99.82
274,n889,274,274,0,547,1,100.00,99.82
275,n956,275,275,0,549,1,100.00,99.82
276,n3176,276,276,0,551,1,100.00,99.82
277,n2666,277,277,0,553,1,100.00,99.82
278,n2946,278,278,0,555,1,100.00,99.82
279,n1976,279,279,0,557,1,100.00,99.82
280,n1156,280,280,0,559,1,100.00,99.82
281,n1340,281,281,0,561,1,100.00,99.82
282,n1775,282,282,0,563,1,100.00,99.82
283,n2058,283,283,0,565,1,100.00,99.82
284,n2904,284,284,0,567,1,100.00,99.82
285,n3108,285,285,0,569,1,100.00,99.82
286,n2972,286,286,0,571,1,100.00,99.83
287,n2836,287,287,0,573,1,100.00,99.83
288,n747,288,288,0,575,1,100.00,99.83
289,n1489,289,289,0,577,1,100.00,99.83
290,n1949,290,290,0,579,1,100.00,99.83
291,n2525,291,291,0,581,1,100.00,99.83
292,n2204,292,292,0,583,1,100.00,99.83
293,n1699,293,293,0,585,1,100.00,99.83
294,n1795,294,294,0,587,1,100.00,99.83
295,n1265,295,295,0,589,1,100.00,99.83
296,n3082,296,296,0,591,1,100.00,99.83
297,n2112,297,297,0,593,1,100.00,99.83
298,n2185,298,298,0,595,1,100.00,99.83
299,n2131,299,299,0,597,1,100.00,99.83
300,n2404,300,300,0,599,1,100.00,99.83
301,n3014,301,301,0,601,1,100.00,99.83
302,n3150,302,302,0,603,1,100.00,99.83
303,n2598,303,303,0,605,1,100.00,99.83
304,n2177,304,304,0,607,1,100.00,99.84
305,n2334,305,305,0,609,1,100.00,99.84
306,n2331,306,306,0,611,1,100.00,99.84
307,n2469,307,307,0,613,1,100.00,99.84
308,n1893,308,308,0,615,1,100.00,99.84
309,n1024,309,309,0,617,1,100.00,99.84
310,n1172,310,310,0,619,1,100.00,99.84
311,n1425,311,311,0,621,1,100.00,99.84
312,n824,312,312,0,623,1,100.00,99.84
313,n919,313,313,0,625,1,100.00,99.84
314,n2306,314,314,0,627,1,100.00,99.84
315,n2014,315,315,0,629,1,100.00,99.84
316,n3286,316,316,0,631,1,100.00,99.84
317,n2031,317,317,0,633,1,100.00,99.84
318,n2042,318,318,0,635,1,100.00,99.84
319,n425,319,319,0,637,1,100.00,99.84
320,n478,320,320,0,639,1,100.00,99.84
321,n1830,321,321,0,641,1,100.00,99.84
322,n2428,322,322,0,642,2,100.00,99.69
323,n1636,323,323,0,644,2,100.00,99.69
324,n2282,324,324,0,645,3,100.00,99.54
325,n2574,325,325,0,646,4,100.00,99.38
326,n3218,326,326,0,648,4,100.00,99.39
327,n3354,327,327,0,650,4,100.00,99.39
328,n1229,328,328,0,652,4,100.00,99.39
329,n585,329,329,0,654,4,100.00,99.39
330,n508,330,330,0,655,5,100.00,99.24
331,n2350,331,331,0,657,5,100.00,99.24
332,n570,332,332,0,658,6,100.00,99.10
333,n1739,333,333,0,660,6,100.00,99.10
334,n1885,334,334,0,662,6,100.00,99.10
335,n2477,335,335,0,664,6,100.00,99.10
336,n371,336,336,0,666,6,100.00,99.11
337,n1779,337,337,0,667,7,100.00,98.96
338,n2071,338,338,0,668,8,100.00,98.82
339,n2366,339,339,0,670,8,100.00,98.82
340,n274,340,340,0,672,8,100.00,98.82
341,n1747,341,341,0,674,8,100.00,98.83
342,n2039,342,342,0,676,8,100.00,98.83
343,n2314,343,343,0,678,8,100.00,98.83
344,n2136,344,344,0,679,9,100.00,98.69
345,n1820,345,345,0,681,9,100.00,98.70
346,n2277,346,346,0,683,9,100.00,98.70
347,n1063,347,347,0,685,9,100.00,98.70
348,n482,348,348,0,687,9,100.00,98.71
349,n1750,349,349,0,689,9,100.00,98.71
350,n2423,350,350,0,691,9,100.00,98.71
351,n1993,351,351,0,693,9,100.00,98.72
352,n2448,352,352,0,694,10,100.00,98.58
353,n2100,353,353,0,695,11,100.00,98.44
354,n1722,354,354,0,697,11,100.00,98.45
355,n1600,355,355,0,699,11,100.00,98.45
356,n1954,356,356,0,700,12,100.00,98.31
357,n2246,357,357,0,701,13,100.00,98.18
358,n1010,358,358,0,703,13,100.00,98.18
359,n2392,359,359,0,704,14,100.00,98.05
360,n1191,360,360,0,706,14,100.00,98.06
361,n2022,361,361,0,708,14,100.00,98.06
362,n1673,362,362,0,710,14,100.00,98.07
363,n2541,363,363,0,712,14,100.00,98.07
364,n1303,364,364,0,714,14,100.00,98.08
365,n2192,365,365,0,715,15,100.00,97.95
366,n2156,366,366,0,716,16,100.00,97.81
367,n773,367,367,0,717,17,100.00,97.68
368,n1757,368,368,0,719,17,100.00,97.69
369,n2074,369,369,0,721,17,100.00,97.70
370,n1875,370,370,0,723,17,100.00,97.70
371,n1525,371,371,0,725,17,100.00,97.71
372,n2254,372,372,0,726,18,100.00,97.58
373,n1911,373,373,0,728,18,100.00,97.59
374,n2549,374,374,0,730,18,100.00,97.59
375,n3294,375,375,0,732,18,100.00,97.60
376,n2232,376,376,0,734,18,100.00,97.61
377,n1049,377,377,0,736,18,100.00,97.61
378,n1128,378,378,0,738,18,100.00,97.62
379,n1145,379,379,0,740,18,100.00,97.63
380,n1201,380,380,0,742,18,100.00,97.63
381,n1209,381,381,0,744,18,100.00,97.64
382,n1218,382,382,0,746,18,100.00,97.64
383,n1237,383,383,0,748,18,100.00,97.65
384,n1262,384,384,0,750,18,100.00,97.66
385,n1284,385,385,0,752,18,100.00,97.66
386,n1320,386,386,0,754,18,100.00,97.67
387,n1329,387,387,0,756,18,100.00,97.67
388,n1349,388,388,0,758,18,100.00,97.68
389,n1357,389,389,0,760,18,100.00,97.69
390,n1410,390,390,0,762,18,100.00,97.69
391,n1442,391,391,0,764,18,100.00,97.70
392,n1469,392,392,0,766,18,100.00,97.70
393,n1478,393,393,0,768,18,100.00,97.71
394,n1506,394,394,0,770,18,100.00,97.72
395,n1551,395,395,0,772,18,100.00,97.72
396,n1573,396,396,0,774,18,100.00,97.73
397,n1581,397,397,0,776,18,100.00,97.73
398,n1654,398,398,0,778,18,100.00,97.74
399,n3260,399,399,0,780,18,100.00,97.74
400,n385,400,400,0,782,18,100.00,97.75
401,n410,401,401,0,784,18,100.00,97.76
402,n422,402,402,0,786,18,100.00,97.76
403,n438,403,403,0,788,18,100.00,97.77
404,n463,404,404,0,790,18,100.00,97.77
405,n475,405,405,0,792,18,100.00,97.78
406,n519,406,406,0,794,18,100.00,97.78
407,n531,407,407,0,796,18,100.00,97.79
408,n558,408,408,0,798,18,100.00,97.79
409,n599,409,409,0,800,18,100.00,97.80
410,n676,410,410,0,802,18,100.00,97.80
411,n719,411,411,0,804,18,100.00,97.81
412,n732,412,412,0,806,18,100.00,97.82
413,n744,413,413,0,808,18,100.00,97.82
414,n837,414,414,0,810,18,100.00,97.83
415,n864,415,415,0,812,18,100.00,97.83
416,n901,416,416,0,814,18,100.00,97.84
417,n971,417,417,0,816,18,100.00,97.84
418,n368,418,418,0,818,18,100.00,97.85
419,n1090,419,419,0,819,19,100.00,97.73
420,n1925,420,420,0,820,20,100.00,97.62
421,n2512,421,421,0,822,20,100.00,97.62
422,n2139,422,422,0,824,20,100.00,97.63
423,n2484,423,423,0,825,21,100.00,97.52
424,n2582,424,424,0,826,22,100.00,97.41
425,n287,425,425,0,828,22,100.00,97.41
426,n314,426,426,0,830,22,100.00,97.42
427,n331,427,427,0,832,22,100.00,97.42
428,n343,428,428,0,834,22,100.00,97.43
429,n356,429,429,0,836,22,100.00,97.44
430,n2265,430,430,0,838,22,100.00,97.44
431,n2094,431,431,0,840,22,100.00,97.45
432,n2001,432,432,0,842,22,100.00,97.45
433,n2538,433,433,0,843,23,100.00,97.34
434,n2355,434,434,0,844,24,100.00,97.24
435,n1808,435,435,0,845,25,100.00,97.13
436,n2395,436,436,0,847,25,100.00,97.13
