topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n591,1,1,0,1,1,100.00,50.00
2,n418,2,2,0,2,2,100.00,50.00
3,n513,3,3,0,3,3,100.00,50.00
4,n241,4,4,0,4,4,100.00,50.00
5,n121,5,4,1,4,6,80.00,40.00
6,n340,6,5,1,5,7,83.33,41.67
7,n558,7,6,1,6,8,85.71,42.86
8,n511,8,7,1,7,9,87.50,43.75
9,n123,9,8,1,8,10,88.89,44.44
10,n592,10,9,1,9,11,90.00,45.00
11,n589,11,9,2,9,13,81.82,40.91
12,n239,12,10,2,10,14,83.33,41.67
13,n395,13,10,3,10,16,76.92,38.46
14,n600,14,11,3,11,17,78.57,39.29
15,n190,15,12,3,12,18,80.00,40.00
16,n420,16,13,3,13,19,81.25,40.62
17,n338,17,14,3,14,20,82.35,41.18
18,n638,18,14,4,14,22,77.78,38.89
19,n651,19,14,5,14,24,73.68,36.84
20,n468,20,15,5,15,25,75.00,37.50
21,n223,21,16,5,16,26,76.19,38.10
22,n297,22,17,5,17,27,77.27,38.64
23,n419,23,18,5,18,28,78.26,39.13
24,n288,24,19,5,19,29,79.17,39.58
25,n120,25,19,6,19,31,76.00,38.00
26,n664,26,20,6,20,32,76.92,38.46
27,n122,27,20,7,20,34,74.07,37.04
28,n287,28,21,7,21,35,75.00,37.50
29,n389,29,21,8,21,37,72.41,36.21
30,n396,30,22,8,22,38,73.33,36.67
31,n390,31,22,9,22,40,70.97,35.48
32,n559,32,23,9,23,41,71.88,35.94
33,n240,33,24,9,24,42,72.73,36.36
34,n514,34,25,9,25,43,73.53,36.76
35,n489,35,25,10,25,45,71.43,35.71
36,n590,36,25,11,25,47,69.44,34.72
37,n490,37,26,11,26,48,70.27,35.14
38,n512,38,27,11,27,49,71.05,35.53
39,n318,39,28,11,28,50,71.79,35.90
40,n242,40,29,11,29,51,72.50,36.25
41,n339,41,30,11,30,52,73.17,36.59
42,n224,42,31,11,31,53,73.81,36.90
43,n191,43,32,11,32,54,74.42,37.21
44,n703,44,33,11,33,55,75.00,37.50
45,n639,45,33,12,33,57,73.33,36.67
46,n375,46,34,12,34,58,73.91,36.96
47,n341,47,35,12,35,59,74.47,37.23
48,n539,48,35,13,35,61,72.92,36.46
49,n289,49,36,13,36,62,73.47,36.73
50,n469,50,37,13,37,63,74.00,37.00
51,n538,51,37,14,37,65,72.55,36.27
52,n298,52,38,14,38,66,73.08,36.54
53,n618,53,38,15,38,68,71.70,35.85
54,n124,54,39,15,40,68,72.22,37.04
55,n417,55,40,15,41,69,72.73,37.27
56,n601,56,41,15,43,69,73.21,38.39
57,n188,57,42,15,44,70,73.68,38.60
58,n652,58,42,16,44,72,72.41,37.93
59,n704,59,43,16,45,73,72.88,38.14
