topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,Cin,1,1,0,1,1,100.00,50.00
2,reg_write,2,2,0,3,1,100.00,75.00
3,n159,3,3,0,4,2,100.00,66.67
4,n194,4,4,0,5,3,100.00,62.50
5,n65,5,5,0,6,4,100.00,60.00
6,mem_write,6,6,0,7,5,100.00,58.33
7,n68,7,7,0,8,6,100.00,57.14
8,n90,8,7,1,8,8,87.50,50.00
9,bgez,9,8,1,9,9,88.89,50.00
10,beqz,10,9,1,10,10,90.00,50.00
11,n164,11,10,1,11,11,90.91,50.00
12,bltz,12,11,1,12,12,91.67,50.00
13,halt,13,12,1,14,12,92.31,53.85
14,sel_wb,14,13,1,15,13,92.86,53.57
15,bnez,15,14,1,16,14,93.33,53.33
16,n69,16,15,1,17,15,93.75,53.12
17,sel_pc_opA,17,16,1,18,16,94.12,52.94
18,sel_pc_opB,18,17,1,19,17,94.44,52.78
19,n52,19,18,1,20,18,94.74,52.63
20,n195,20,19,1,21,19,95.00,52.50
21,n92,21,19,2,21,21,90.48,50.00
22,n161,22,20,2,22,22,90.91,50.00
23,n51,23,21,2,23,23,91.30,50.00
24,n174,24,22,2,24,24,91.67,50.00
25,jump,25,23,2,25,25,92.00,50.00
26,n112,26,24,2,26,26,92.31,50.00
27,n183,27,25,2,27,27,92.59,50.00
28,n124,28,26,2,28,28,92.86,50.00
29,n165,29,27,2,29,29,93.10,50.00
30,n175,30,28,2,30,30,93.33,50.00
31,n160,31,29,2,31,31,93.55,50.00
32,n173,32,30,2,32,32,93.75,50.00
33,n162,33,31,2,33,33,93.94,50.00
34,n93,34,32,2,34,34,94.12,50.00
35,n67,35,32,3,34,36,91.43,48.57
36,n89,36,32,4,34,38,88.89,47.22
37,n113,37,33,4,35,39,89.19,47.30
38,n192,38,33,5,35,41,86.84,46.05
39,n125,39,33,6,35,43,84.62,44.87
40,n100,40,33,7,35,45,82.50,43.75
41,n101,41,34,7,36,46,82.93,43.90
42,n94,42,35,7,38,46,83.33,45.24
43,n77,43,36,7,40,46,83.72,46.51
44,n76,44,37,7,41,47,84.09,46.59
45,n193,45,37,8,41,49,82.22,45.56
46,n102,46,38,8,42,50,82.61,45.65
47,n203,47,39,8,43,51,82.98,45.74
48,n198,48,40,8,44,52,83.33,45.83
49,n186,49,41,8,45,53,83.67,45.92
50,n191,50,41,9,45,55,82.00,45.00
51,n56,51,42,9,46,56,82.35,45.10
52,n202,52,43,9,47,57,82.69,45.19
53,n190,53,43,10,47,59,81.13,44.34
54,n91,54,43,11,47,61,79.63,43.52
55,n121,55,44,11,49,61,80.00,44.55
56,n111,56,45,11,50,62,80.36,44.64
57,n55,57,46,11,51,63,80.70,44.74
58,n158,58,46,12,51,65,79.31,43.97
59,n132,59,47,12,52,66,79.66,44.07
60,n110,60,47,13,52,68,78.33,43.33
61,n185,61,48,13,53,69,78.69,43.44
62,n182,62,49,13,54,70,79.03,43.55
63,n184,63,50,13,55,71,79.37,43.65
64,sign,64,51,13,56,72,79.69,43.75
65,n169,65,52,13,57,73,80.00,43.85
66,n151,66,53,13,59,73,80.30,44.70
67,n66,67,53,14,59,75,79.10,44.03
68,n197,68,54,14,60,76,79.41,44.12
69,n167,69,55,14,61,77,79.71,44.20
70,n200,70,56,14,62,78,80.00,44.29
71,n171,71,57,14,63,79,80.28,44.37
72,n127,72,58,14,64,80,80.56,44.44
73,n170,73,59,14,65,81,80.82,44.52
74,n150,74,60,14,66,82,81.08,44.59
75,n206,75,61,14,67,83,81.33,44.67
76,n207,76,62,14,68,84,81.58,44.74
77,n104,77,63,14,69,85,81.82,44.81
78,n166,78,64,14,70,86,82.05,44.87
79,n74,79,65,14,71,87,82.28,44.94
