topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n414,1,1,0,1,1,100.00,50.00
2,n270,2,2,0,3,1,100.00,75.00
3,n267,3,3,0,4,2,100.00,66.67
4,n273,4,4,0,6,2,100.00,75.00
5,n276,5,5,0,8,2,100.00,80.00
6,n281,6,6,0,10,2,100.00,83.33
7,n291,7,7,0,12,2,100.00,85.71
8,n432,8,8,0,14,2,100.00,87.50
9,n278,9,9,0,16,2,100.00,88.89
10,n293,10,10,0,18,2,100.00,90.00
11,n309,11,11,0,19,3,100.00,86.36
12,n327,12,12,0,20,4,100.00,83.33
13,n286,13,13,0,22,4,100.00,84.62
14,n300,14,14,0,24,4,100.00,85.71
15,n501,15,15,0,25,5,100.00,83.33
16,n284,16,16,0,27,5,100.00,84.38
17,n296,17,17,0,29,5,100.00,85.29
18,n363,18,18,0,30,6,100.00,83.33
19,n449,19,19,0,32,6,100.00,84.21
20,n466,20,20,0,33,7,100.00,82.50
21,n518,21,21,0,34,8,100.00,80.95
22,n535,22,22,0,35,9,100.00,79.55
23,n298,23,23,0,37,9,100.00,80.43
24,n345,24,24,0,38,10,100.00,79.17
25,n288,25,25,0,40,10,100.00,80.00
26,n302,26,26,0,42,10,100.00,80.77
27,n304,27,27,0,44,10,100.00,81.48
28,n483,28,28,0,45,11,100.00,80.36
29,n306,29,29,0,47,11,100.00,81.03
30,n380,30,30,0,48,12,100.00,80.00
31,n397,31,31,0,49,13,100.00,79.03
32,n552,32,32,0,50,14,100.00,78.12
33,n283,33,33,0,52,14,100.00,78.79
34,n295,34,34,0,54,14,100.00,79.41
35,n344,35,35,0,55,15,100.00,78.57
36,n362,36,36,0,56,16,100.00,77.78
37,n265,37,37,0,58,16,100.00,78.38
38,n268,38,38,0,60,16,100.00,78.95
39,n269,39,39,0,62,16,100.00,79.49
40,n266,40,40,0,63,17,100.00,78.75
41,n272,41,41,0,65,17,100.00,79.27
42,n275,42,42,0,67,17,100.00,79.76
43,n280,43,43,0,69,17,100.00,80.23
44,n290,44,44,0,71,17,100.00,80.68
45,n308,45,45,0,73,17,100.00,81.11
46,n326,46,46,0,74,18,100.00,80.43
47,n431,47,47,0,75,19,100.00,79.79
48,n500,48,48,0,76,20,100.00,79.17
