topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n190,1,1,0,1,1,100.00,50.00
2,n177,2,2,0,2,2,100.00,50.00
3,n178,3,3,0,3,3,100.00,50.00
4,n191,4,4,0,4,4,100.00,50.00
5,n167,5,5,0,5,5,100.00,50.00
6,n168,6,6,0,6,6,100.00,50.00
7,n196,7,7,0,7,7,100.00,50.00
8,n161,8,8,0,8,8,100.00,50.00
9,n122,9,9,0,9,9,100.00,50.00
10,n62,10,10,0,10,10,100.00,50.00
11,n160,11,10,1,10,12,90.91,45.45
12,n197,12,11,1,11,13,91.67,45.83
13,n63,13,12,1,12,14,92.31,46.15
14,n123,14,13,1,14,14,92.86,50.00
15,n239,15,14,1,15,15,93.33,50.00
16,n238,16,15,1,16,16,93.75,50.00
17,n117,17,15,2,16,18,88.24,47.06
18,n45,18,16,2,17,19,88.89,47.22
19,n100,19,17,2,18,20,89.47,47.37
20,n250,20,18,2,19,21,90.00,47.50
21,n44,21,19,2,20,22,90.48,47.62
22,n57,22,19,3,20,24,86.36,45.45
23,n265,23,20,3,21,25,86.96,45.65
24,n92,24,21,3,22,26,87.50,45.83
25,n99,25,22,3,23,27,88.00,46.00
26,n121,26,22,4,23,29,84.62,44.23
27,n139,27,22,5,23,31,81.48,42.59
28,n153,28,22,6,23,33,78.57,41.07
29,n74,29,23,6,25,33,79.31,43.10
30,n58,30,24,6,26,34,80.00,43.33
31,n116,31,24,7,26,36,77.42,41.94
32,n70,32,25,7,27,37,78.12,42.19
33,n40,33,26,7,28,38,78.79,42.42
34,n185,34,27,7,29,39,79.41,42.65
35,n260,35,27,8,29,41,77.14,41.43
36,n111,36,27,9,29,43,75.00,40.28
37,n43,37,28,9,30,44,75.68,40.54
38,n184,38,28,10,30,46,73.68,39.47
39,n61,39,29,10,31,47,74.36,39.74
40,n226,40,29,11,31,49,72.50,38.75
41,n264,41,29,12,31,51,70.73,37.80
42,n69,42,30,12,32,52,71.43,38.10
43,n56,43,30,13,32,54,69.77,37.21
44,n141,44,31,13,33,55,70.45,37.50
45,n50,45,31,14,33,57,68.89,36.67
46,n138,46,31,15,33,59,67.39,35.87
47,n227,47,31,16,33,61,65.96,35.11
48,n217,48,32,16,34,62,66.67,35.42
49,n203,49,33,16,35,63,67.35,35.71
50,n159,50,33,17,35,65,66.00,35.00
51,n51,51,33,18,35,67,64.71,34.31
52,n68,52,33,19,35,69,63.46,33.65
53,n26,53,34,19,36,70,64.15,33.96
54,n237,54,35,19,37,71,64.81,34.26
55,n91,55,36,19,38,72,65.45,34.55
56,n27,56,37,19,39,73,66.07,34.82
57,n218,57,38,19,41,73,66.67,35.96
58,n152,58,38,20,41,75,65.52,35.34
59,n73,59,39,20,42,76,66.10,35.59
60,n269,60,40,20,43,77,66.67,35.83
61,n173,61,41,20,44,78,67.21,36.07
62,n246,62,41,21,44,80,66.13,35.48
63,n176,63,42,21,45,81,66.67,35.71
64,n202,64,43,21,46,82,67.19,35.94
65,n189,65,44,21,47,83,67.69,36.15
66,n259,66,44,22,47,85,66.67,35.61
67,n30,67,45,22,48,86,67.16,35.82
68,n270,68,46,22,49,87,67.65,36.03
69,n145,69,47,22,50,88,68.12,36.23
70,n87,70,47,23,50,90,67.14,35.71
71,n172,71,47,24,50,92,66.20,35.21
72,n244,72,47,25,50,94,65.28,34.72
73,n67,73,47,26,50,96,64.38,34.25
74,n115,74,47,27,50,98,63.51,33.78
75,n36,75,48,27,51,99,64.00,34.00
76,n39,76,49,27,52,100,64.47,34.21
77,n267,77,50,27,53,101,64.94,34.42
78,n140,78,50,28,53,103,64.10,33.97
79,n195,79,51,28,54,104,64.56,34.18
80,n88,80,51,29,54,106,63.75,33.75
81,n110,81,51,30,54,108,62.96,33.33
82,n77,82,52,30,56,108,63.41,34.15
83,n82,83,53,30,57,109,63.86,34.34
84,n236,84,53,31,57,111,63.10,33.93
85,n208,85,54,31,59,111,63.53,34.71
86,n245,86,54,32,59,113,62.79,34.30
87,n243,87,54,33,59,115,62.07,33.91
88,n216,88,55,33,60,116,62.50,34.09
89,n166,89,56,33,61,117,62.92,34.27
90,n137,90,56,34,61,119,62.22,33.89
91,n120,91,56,35,61,121,61.54,33.52
92,n106,92,56,36,61,123,60.87,33.15
93,n207,93,57,36,62,124,61.29,33.33
94,n188,94,58,36,63,125,61.70,33.51
95,n136,95,58,37,63,127,61.05,33.16
96,n175,96,59,37,64,128,61.46,33.33
97,n242,97,59,38,64,130,60.82,32.99
98,n60,98,60,38,65,131,61.22,33.16
99,n277,99,61,38,66,132,61.62,33.33
100,n96,100,61,39,66,134,61.00,33.00
101,n55,101,61,40,66,136,60.40,32.67
102,n49,102,61,41,66,138,59.80,32.35
103,n234,103,61,42,66,140,59.22,32.04
104,n151,104,61,43,66,142,58.65,31.73
105,n225,105,61,44,66,144,58.10,31.43
106,n42,106,62,44,67,145,58.49,31.60
107,n233,107,62,45,67,147,57.94,31.31
108,n134,108,62,46,67,149,57.41,31.02
109,n129,109,62,47,67,151,56.88,30.73
110,n228,110,63,47,68,152,57.27,30.91
111,n132,111,63,48,68,154,56.76,30.63
112,n229,112,63,49,68,156,56.25,30.36
113,n102,113,63,50,68,158,55.75,30.09
114,n249,114,63,51,68,160,55.26,29.82
115,n258,115,63,52,68,162,54.78,29.57
116,n47,116,63,53,68,164,54.31,29.31
117,n276,117,64,53,69,165,54.70,29.49
118,n257,118,64,54,69,167,54.24,29.24
119,n112,119,64,55,69,169,53.78,28.99
120,n64,120,64,56,69,171,53.33,28.75
121,n183,121,64,57,69,173,52.89,28.51
122,n76,122,65,57,70,174,53.28,28.69
123,n158,123,65,58,70,176,52.85,28.46
124,n143,124,66,58,71,177,53.23,28.63
125,n174,125,66,59,71,179,52.80,28.40
126,n214,126,67,59,72,180,53.17,28.57
127,n248,127,67,60,72,182,52.76,28.35
128,n232,128,67,61,72,184,52.34,28.12
129,n25,129,68,61,73,185,52.71,28.29
130,n157,130,68,62,73,187,52.31,28.08
131,n133,131,68,63,73,189,51.91,27.86
132,n95,132,68,64,73,191,51.52,27.65
133,n230,133,68,65,73,193,51.13,27.44
134,n104,134,68,66,73,195,50.75,27.24
135,n200,135,68,67,73,197,50.37,27.04
136,n89,136,69,67,74,198,50.74,27.21
137,n41,137,70,67,75,199,51.09,27.37
138,n220,138,70,68,75,201,50.72,27.17
139,n80,139,70,69,75,203,50.36,26.98
140,n272,140,71,69,77,203,50.71,27.50
141,n29,141,72,69,78,204,51.06,27.66
142,n93,142,72,70,78,206,50.70,27.46
143,n206,143,72,71,78,208,50.35,27.27
144,n59,144,73,71,79,209,50.69,27.43
145,n23,145,74,71,80,210,51.03,27.59
146,n268,146,75,71,81,211,51.37,27.74
147,n65,147,75,72,81,213,51.02,27.55
148,n247,148,75,73,81,215,50.68,27.36
149,n101,149,75,74,81,217,50.34,27.18
150,n212,150,75,75,81,219,50.00,27.00
