topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n22129,1,0,1,0,2,0.00,0.00
2,n22406,2,0,2,0,4,0.00,0.00
3,n12286,3,0,3,0,6,0.00,0.00
4,n12269,4,0,4,0,8,0.00,0.00
5,n12255,5,0,5,0,10,0.00,0.00
6,n12238,6,0,6,0,12,0.00,0.00
7,n22198,7,0,7,0,14,0.00,0.00
8,n22115,8,0,8,0,16,0.00,0.00
9,n12221,9,0,9,0,18,0.00,0.00
10,n22116,10,0,10,0,20,0.00,0.00
11,n12204,11,0,11,0,22,0.00,0.00
12,n12173,12,0,12,0,24,0.00,0.00
13,n12187,13,0,13,0,26,0.00,0.00
14,n22201,14,0,14,0,28,0.00,0.00
15,n22098,15,0,15,0,30,0.00,0.00
16,n12156,16,0,16,0,32,0.00,0.00
17,n12284,17,0,17,0,34,0.00,0.00
18,n22404,18,0,18,0,36,0.00,0.00
19,n22206,19,0,19,0,38,0.00,0.00
20,n12139,20,0,20,0,40,0.00,0.00
21,n22204,21,0,21,0,42,0.00,0.00
22,n12122,22,0,22,0,44,0.00,0.00
23,n22081,23,0,23,0,46,0.00,0.00
24,n22205,24,0,24,0,48,0.00,0.00
25,n12337,25,0,25,0,50,0.00,0.00
26,n22210,26,0,26,0,52,0.00,0.00
27,n22209,27,0,27,0,54,0.00,0.00
28,n12105,28,0,28,0,56,0.00,0.00
29,n22211,29,0,29,0,58,0.00,0.00
30,n22064,30,0,30,0,60,0.00,0.00
31,n12353,31,0,31,0,62,0.00,0.00
32,n22214,32,0,32,0,64,0.00,0.00
33,n12347,33,0,33,0,66,0.00,0.00
34,n12359,34,0,34,0,68,0.00,0.00
35,n12581,35,0,35,0,70,0.00,0.00
36,n12088,36,0,36,0,72,0.00,0.00
37,n12352,37,0,37,0,74,0.00,0.00
38,n12351,38,0,38,0,76,0.00,0.00
39,n12335,39,0,39,0,78,0.00,0.00
40,n22047,40,0,40,0,80,0.00,0.00
41,n12074,41,0,41,0,82,0.00,0.00
42,n12340,42,0,42,0,84,0.00,0.00
43,n12360,43,0,43,0,86,0.00,0.00
44,n12356,44,0,44,0,88,0.00,0.00
45,n22033,45,0,45,0,90,0.00,0.00
46,n12348,46,0,46,0,92,0.00,0.00
47,n12361,47,0,47,0,94,0.00,0.00
48,n22203,48,0,48,0,96,0.00,0.00
49,n22202,49,0,49,0,98,0.00,0.00
50,n22016,50,0,50,0,100,0.00,0.00
51,n22217,51,0,51,0,102,0.00,0.00
52,n12362,52,0,52,0,104,0.00,0.00
53,n12363,53,0,53,0,106,0.00,0.00
54,n12358,54,0,54,0,108,0.00,0.00
55,n12685,55,0,55,0,110,0.00,0.00
56,n21999,56,0,56,0,112,0.00,0.00
57,n22218,57,0,57,0,114,0.00,0.00
58,n22219,58,0,58,0,116,0.00,0.00
59,n12357,59,0,59,0,118,0.00,0.00
60,n26635,60,0,60,0,120,0.00,0.00
61,n12336,61,0,61,0,122,0.00,0.00
62,n22190,62,0,62,0,124,0.00,0.00
63,n21982,63,0,63,0,126,0.00,0.00
64,n12057,64,0,64,0,128,0.00,0.00
65,n21965,65,0,65,0,130,0.00,0.00
66,n26615,66,0,66,0,132,0.00,0.00
67,n22079,67,0,67,0,134,0.00,0.00
68,n12346,68,0,68,0,136,0.00,0.00
69,n22096,69,0,69,0,138,0.00,0.00
70,n12350,70,0,70,0,140,0.00,0.00
71,n22062,71,0,71,0,142,0.00,0.00
72,n22213,72,0,72,0,144,0.00,0.00
73,n26595,73,0,73,0,146,0.00,0.00
74,n12345,74,0,74,0,148,0.00,0.00
75,n12366,75,0,75,0,150,0.00,0.00
76,n12344,76,0,76,0,152,0.00,0.00
77,n22193,77,0,77,0,154,0.00,0.00
78,n22220,78,0,78,0,156,0.00,0.00
79,n12349,79,0,79,0,158,0.00,0.00
80,n12767,80,0,80,0,160,0.00,0.00
81,n12219,81,0,81,0,162,0.00,0.00
82,n12202,82,0,82,0,164,0.00,0.00
83,n12236,83,0,83,0,166,0.00,0.00
84,n12341,84,0,84,0,168,0.00,0.00
85,n26564,85,0,85,0,170,0.00,0.00
86,n12331,86,0,86,0,172,0.00,0.00
87,n26578,87,0,87,0,174,0.00,0.00
88,n21948,88,0,88,0,176,0.00,0.00
89,n12040,89,0,89,0,178,0.00,0.00
90,n22212,90,0,90,0,180,0.00,0.00
91,n22221,91,0,91,0,182,0.00,0.00
92,n26547,92,0,92,0,184,0.00,0.00
93,n12368,93,0,93,0,186,0.00,0.00
94,n21934,94,0,94,0,188,0.00,0.00
95,n12023,95,0,95,0,190,0.00,0.00
96,n12371,96,0,96,0,192,0.00,0.00
97,n26530,97,0,97,0,194,0.00,0.00
98,n12367,98,0,98,0,196,0.00,0.00
99,n12334,99,0,99,0,198,0.00,0.00
100,n12500,100,0,100,0,200,0.00,0.00
101,n26513,101,0,101,0,202,0.00,0.00
102,n12006,102,0,102,0,204,0.00,0.00
103,n21917,103,0,103,0,206,0.00,0.00
104,n22195,104,0,104,0,208,0.00,0.00
105,n22194,105,0,105,0,210,0.00,0.00
106,n21997,106,0,106,0,212,0.00,0.00
107,n22189,107,0,107,0,214,0.00,0.00
108,n26633,108,0,108,0,216,0.00,0.00
109,n26496,109,0,109,0,218,0.00,0.00
110,n13416,110,0,110,0,220,0.00,0.00
111,n12775,111,0,111,0,222,0.00,0.00
112,n12242,112,0,112,0,224,0.00,0.00
113,n11989,113,0,113,0,226,0.00,0.00
114,n25995,114,0,114,0,228,0.00,0.00
115,n21900,115,0,115,0,230,0.00,0.00
116,n12256,116,0,116,0,232,0.00,0.00
117,n11975,117,0,117,0,234,0.00,0.00
118,n26482,118,0,118,0,236,0.00,0.00
119,n22188,119,0,119,0,238,0.00,0.00
120,n25996,120,0,120,0,240,0.00,0.00
121,n12887,121,0,121,0,242,0.00,0.00
122,n13417,122,0,122,0,244,0.00,0.00
123,n26465,123,0,123,0,246,0.00,0.00
124,n21883,124,0,124,0,248,0.00,0.00
125,n22197,125,0,125,0,250,0.00,0.00
126,n26448,126,0,126,0,252,0.00,0.00
127,n22222,127,0,127,0,254,0.00,0.00
128,n11958,128,0,128,0,256,0.00,0.00
129,n21866,129,0,129,0,258,0.00,0.00
130,n26431,130,0,130,0,260,0.00,0.00
131,n12174,131,0,131,0,262,0.00,0.00
132,n12160,132,0,132,0,264,0.00,0.00
133,n22102,133,0,133,0,266,0.00,0.00
134,n12143,134,0,134,0,268,0.00,0.00
135,n21980,135,0,135,0,270,0.00,0.00
136,n26613,136,0,136,0,272,0.00,0.00
137,n22307,137,0,137,0,274,0.00,0.00
138,n26414,138,0,138,0,276,0.00,0.00
139,n12137,139,0,139,0,278,0.00,0.00
140,n11941,140,0,140,0,280,0.00,0.00
141,n22187,141,0,141,0,282,0.00,0.00
142,n21647,142,0,142,0,284,0.00,0.00
143,n26383,143,0,143,0,286,0.00,0.00
144,n22186,144,0,144,0,288,0.00,0.00
145,n26366,145,0,145,0,290,0.00,0.00
146,n22196,146,0,146,0,292,0.00,0.00
147,n21835,147,0,147,0,294,0.00,0.00
148,n26397,148,0,148,0,296,0.00,0.00
149,n21849,149,0,149,0,298,0.00,0.00
150,n26593,150,0,150,0,300,0.00,0.00
151,n13424,151,0,151,0,302,0.00,0.00
152,n26349,152,0,152,0,304,0.00,0.00
153,n26332,153,0,153,0,306,0.00,0.00
154,n21963,154,0,154,0,308,0.00,0.00
155,n21818,155,0,155,0,310,0.00,0.00
156,n22128,156,0,156,0,312,0.00,0.00
157,n11924,157,0,157,0,314,0.00,0.00
158,n26315,158,0,158,0,316,0.00,0.00
159,n26284,159,0,159,0,318,0.00,0.00
160,n12120,160,0,160,0,320,0.00,0.00
161,n12285,161,0,161,0,322,0.00,0.00
162,n26267,162,0,162,0,324,0.00,0.00
163,n25997,163,0,163,0,326,0.00,0.00
164,n32118,164,1,163,2,326,0.61,0.61
165,n22185,165,1,164,2,328,0.61,0.61
166,n21801,166,1,165,2,330,0.60,0.60
167,n26298,167,1,166,2,332,0.60,0.60
168,n11907,168,1,167,2,334,0.60,0.60
169,n26250,169,1,168,2,336,0.59,0.59
170,n12579,170,1,169,2,338,0.59,0.59
171,n32121,171,2,169,4,338,1.17,1.17
172,n22034,172,2,170,4,340,1.16,1.16
173,n26000,173,2,171,4,342,1.16,1.16
174,n16186,174,2,172,4,344,1.15,1.15
175,n26233,175,2,173,4,346,1.14,1.14
