topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n1787,1,1,0,2,0,100.00,100.00
2,n1792,2,2,0,4,0,100.00,100.00
3,n1774,3,3,0,5,1,100.00,83.33
4,n1766,4,4,0,6,2,100.00,75.00
5,n1782,5,5,0,7,3,100.00,70.00
6,n1211,6,6,0,8,4,100.00,66.67
7,n3120,7,7,0,9,5,100.00,64.29
8,n1756,8,8,0,10,6,100.00,62.50
9,n1747,9,9,0,11,7,100.00,61.11
10,n1203,10,10,0,12,8,100.00,60.00
11,n1748,11,11,0,13,9,100.00,59.09
12,n1746,12,12,0,14,10,100.00,58.33
13,n1195,13,13,0,15,11,100.00,57.69
14,n3086,14,14,0,16,12,100.00,57.14
15,n3112,15,15,0,17,13,100.00,56.67
16,n1745,16,16,0,18,14,100.00,56.25
17,n3023,17,17,0,19,15,100.00,55.88
18,n3017,18,18,0,20,16,100.00,55.56
19,n1741,19,19,0,21,17,100.00,55.26
20,n1185,20,20,0,22,18,100.00,55.00
21,n3021,21,21,0,23,19,100.00,54.76
22,n3042,22,22,0,24,20,100.00,54.55
23,n3022,23,23,0,25,21,100.00,54.35
24,n1176,24,24,0,26,22,100.00,54.17
25,n1175,25,25,0,27,23,100.00,54.00
26,n1726,26,26,0,28,24,100.00,53.85
27,n2974,27,27,0,29,25,100.00,53.70
28,n3043,28,28,0,30,26,100.00,53.57
29,n1177,29,29,0,31,27,100.00,53.45
30,n1155,30,30,0,32,28,100.00,53.33
31,n1729,31,31,0,33,29,100.00,53.23
32,n1727,32,32,0,34,30,100.00,53.12
33,n3076,33,33,0,35,31,100.00,53.03
34,n1730,34,34,0,36,32,100.00,52.94
35,n1174,35,35,0,37,33,100.00,52.86
36,n2948,36,36,0,38,34,100.00,52.78
37,n3007,37,37,0,39,35,100.00,52.70
38,n1156,38,38,0,40,36,100.00,52.63
39,n1170,39,39,0,41,37,100.00,52.56
40,n3025,40,40,0,42,38,100.00,52.50
41,n2972,41,41,0,43,39,100.00,52.44
42,n2953,42,42,0,44,40,100.00,52.38
43,n2973,43,43,0,45,41,100.00,52.33
44,n1701,44,44,0,46,42,100.00,52.27
45,n1728,45,45,0,47,43,100.00,52.22
46,n2954,46,46,0,48,44,100.00,52.17
47,n2968,47,47,0,49,45,100.00,52.13
48,n2952,48,48,0,50,46,100.00,52.08
49,n1731,49,49,0,51,47,100.00,52.04
50,n1111,50,50,0,52,48,100.00,52.00
51,n2975,51,51,0,53,49,100.00,51.96
52,n1105,52,52,0,54,50,100.00,51.92
53,n1696,53,53,0,55,51,100.00,51.89
54,n3041,54,54,0,56,52,100.00,51.85
55,n3044,55,55,0,57,53,100.00,51.82
56,n1125,56,56,0,58,54,100.00,51.79
57,n1130,57,57,0,59,55,100.00,51.75
58,n1725,58,58,0,60,56,100.00,51.72
59,n1682,59,59,0,61,57,100.00,51.69
60,n1721,60,60,0,62,58,100.00,51.67
61,n1129,61,61,0,63,59,100.00,51.64
62,n1158,62,62,0,64,60,100.00,51.61
63,n3037,63,63,0,65,61,100.00,51.59
64,n1112,64,64,0,66,62,100.00,51.56
65,n1159,65,65,0,67,63,100.00,51.54
66,n1676,66,66,0,68,64,100.00,51.52
67,n1109,67,67,0,69,65,100.00,51.49
68,n2815,68,68,0,70,66,100.00,51.47
69,n3024,69,69,0,71,67,100.00,51.45
70,n1154,70,70,0,72,68,100.00,51.43
71,n1150,71,71,0,73,69,100.00,51.41
72,n2813,72,72,0,74,70,100.00,51.39
