topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,po0165,1,1,0,2,0,100.00,100.00
2,po0238,2,2,0,3,1,100.00,75.00
3,po0161,3,3,0,5,1,100.00,83.33
4,po0156,4,4,0,6,2,100.00,75.00
5,po0162,5,5,0,8,2,100.00,80.00
6,po0159,6,6,0,10,2,100.00,83.33
7,po0158,7,7,0,12,2,100.00,85.71
8,po0189,8,8,0,13,3,100.00,81.25
9,po0411,9,9,0,14,4,100.00,77.78
10,po0282,10,10,0,16,4,100.00,80.00
11,po0750,11,11,0,17,5,100.00,77.27
12,po0420,12,12,0,19,5,100.00,79.17
13,po0155,13,13,0,21,5,100.00,80.77
14,po0279,14,14,0,23,5,100.00,82.14
15,po0410,15,15,0,24,6,100.00,80.00
16,po0424,16,16,0,25,7,100.00,78.12
17,po0160,17,17,0,27,7,100.00,79.41
18,po0163,18,18,0,29,7,100.00,80.56
19,po0164,19,19,0,31,7,100.00,81.58
20,po0157,20,20,0,33,7,100.00,82.50
21,po0283,21,21,0,35,7,100.00,83.33
22,po0400,22,22,0,37,7,100.00,84.09
23,po0289,23,23,0,39,7,100.00,84.78
24,po0278,24,24,0,41,7,100.00,85.42
25,po0154,25,25,0,43,7,100.00,86.00
26,po0333,26,26,0,45,7,100.00,86.54
27,po0348,27,27,0,47,7,100.00,87.04
28,po0340,28,28,0,49,7,100.00,87.50
29,po0338,29,29,0,51,7,100.00,87.93
30,po0332,30,30,0,53,7,100.00,88.33
31,po0335,31,31,0,55,7,100.00,88.71
32,po0342,32,32,0,57,7,100.00,89.06
33,po0347,33,33,0,59,7,100.00,89.39
34,po0350,34,34,0,61,7,100.00,89.71
35,po0341,35,35,0,63,7,100.00,90.00
36,po0349,36,36,0,65,7,100.00,90.28
37,po0337,37,37,0,67,7,100.00,90.54
38,po0339,38,38,0,69,7,100.00,90.79
39,po0345,39,39,0,71,7,100.00,91.03
40,po0344,40,40,0,73,7,100.00,91.25
41,po0334,41,41,0,75,7,100.00,91.46
42,po0351,42,42,0,77,7,100.00,91.67
43,po0336,43,43,0,79,7,100.00,91.86
44,po0343,44,44,0,81,7,100.00,92.05
45,po0210,45,45,0,82,8,100.00,91.11
46,po0429,46,46,0,83,9,100.00,90.22
47,po0201,47,47,0,85,9,100.00,90.43
48,po0300,48,48,0,87,9,100.00,90.62
49,po0297,49,49,0,89,9,100.00,90.82
50,po0298,50,50,0,91,9,100.00,91.00
51,po0301,51,51,0,92,10,100.00,90.20
52,po0346,52,52,0,94,10,100.00,90.38
53,po0331,53,53,0,95,11,100.00,89.62
54,po0302,54,54,0,97,11,100.00,89.81
55,po0330,55,55,0,99,11,100.00,90.00
56,po0440,56,56,0,100,12,100.00,89.29
57,po0200,57,57,0,102,12,100.00,89.47
58,po0299,58,58,0,103,13,100.00,88.79
59,po0291,59,59,0,104,14,100.00,88.14
60,po0292,60,60,0,105,15,100.00,87.50
61,po0374,61,61,0,107,15,100.00,87.70
62,po0430,62,62,0,108,16,100.00,87.10
63,po0366,63,63,0,110,16,100.00,87.30
64,po0293,64,64,0,111,17,100.00,86.72
65,po0403,65,65,0,112,18,100.00,86.15
66,po0427,66,66,0,114,18,100.00,86.36
67,po0432,67,67,0,115,19,100.00,85.82
68,po0395,68,68,0,116,20,100.00,85.29
69,po0425,69,69,0,117,21,100.00,84.78
70,po0318,70,70,0,119,21,100.00,85.00
71,po0405,71,71,0,120,22,100.00,84.51
72,po0309,72,72,0,122,22,100.00,84.72
73,po0323,73,73,0,124,22,100.00,84.93
74,po0237,74,74,0,125,23,100.00,84.46
75,po0390,75,75,0,127,23,100.00,84.67
76,po0276,76,76,0,128,24,100.00,84.21
77,po0398,77,77,0,130,24,100.00,84.42
78,n17059,78,78,0,131,25,100.00,83.97
79,po0153,79,79,0,133,25,100.00,84.18
80,po0394,80,80,0,135,25,100.00,84.38
81,po0391,81,81,0,136,26,100.00,83.95
82,po0387,82,82,0,137,27,100.00,83.54
83,po0327,83,83,0,138,28,100.00,83.13
84,po0234,84,84,0,139,29,100.00,82.74
85,po0191,85,85,0,140,30,100.00,82.35
86,po0192,86,86,0,142,30,100.00,82.56
87,po0259,87,87,0,143,31,100.00,82.18
88,po0305,88,88,0,144,32,100.00,81.82
89,po0434,89,89,0,146,32,100.00,82.02
90,po0431,90,90,0,148,32,100.00,82.22
91,po0202,91,91,0,149,33,100.00,81.87
92,po0257,92,92,0,150,34,100.00,81.52
93,po0199,93,93,0,152,34,100.00,81.72
94,n17052,94,94,0,153,35,100.00,81.38
95,po0831,95,95,0,154,36,100.00,81.05
96,po0404,96,96,0,156,36,100.00,81.25
97,po0433,97,97,0,157,37,100.00,80.93
98,po0421,98,98,0,159,37,100.00,81.12
99,po0824,99,99,0,160,38,100.00,80.81
100,po0821,100,100,0,161,39,100.00,80.50
101,po0290,101,101,0,163,39,100.00,80.69
102,po0873,102,102,0,164,40,100.00,80.39
103,po0865,103,103,0,165,41,100.00,80.10
104,po0890,104,104,0,166,42,100.00,79.81
105,po0875,105,105,0,167,43,100.00,79.52
106,po0422,106,106,0,169,43,100.00,79.72
107,po0311,107,107,0,171,43,100.00,79.91
108,po0287,108,108,0,173,43,100.00,80.09
109,po0328,109,109,0,175,43,100.00,80.28
110,po0326,110,110,0,177,43,100.00,80.45
111,po0310,111,111,0,179,43,100.00,80.63
112,po0325,112,112,0,180,44,100.00,80.36
113,po0329,113,113,0,181,45,100.00,80.09
114,po0869,114,114,0,182,46,100.00,79.82
115,po0849,115,115,0,183,47,100.00,79.57
116,po0324,116,116,0,185,47,100.00,79.74
117,po0372,117,117,0,187,47,100.00,79.91
118,po0303,118,118,0,189,47,100.00,80.08
119,po0832,119,119,0,190,48,100.00,79.83
120,po0308,120,120,0,192,48,100.00,80.00
121,po0402,121,121,0,194,48,100.00,80.17
122,po0836,122,122,0,195,49,100.00,79.92
123,po0820,123,123,0,196,50,100.00,79.67
124,po0396,124,124,0,198,50,100.00,79.84
125,po0825,125,125,0,199,51,100.00,79.60
126,po0406,126,126,0,201,51,100.00,79.76
127,po0833,127,127,0,202,52,100.00,79.53
128,po0823,128,128,0,203,53,100.00,79.30
129,po0829,129,129,0,204,54,100.00,79.07
130,po0830,130,130,0,205,55,100.00,78.85
131,po0316,131,131,0,207,55,100.00,79.01
132,po0315,132,132,0,209,55,100.00,79.17
133,po0307,133,133,0,211,55,100.00,79.32
134,po0178,134,134,0,212,56,100.00,79.10
135,po0409,135,135,0,213,57,100.00,78.89
136,po0423,136,136,0,214,58,100.00,78.68
137,po0879,137,137,0,215,59,100.00,78.47
138,po0173,138,138,0,216,60,100.00,78.26
139,po0174,139,139,0,217,61,100.00,78.06
140,po0175,140,140,0,218,62,100.00,77.86
141,po0176,141,141,0,219,63,100.00,77.66
142,po0177,142,142,0,220,64,100.00,77.46
143,po0876,143,143,0,221,65,100.00,77.27
144,po0874,144,144,0,222,66,100.00,77.08
145,po0871,145,145,0,223,67,100.00,76.90
146,po0842,146,146,0,224,68,100.00,76.71
147,po0877,147,147,0,225,69,100.00,76.53
148,po0352,148,148,0,226,70,100.00,76.35
149,po0392,149,149,0,228,70,100.00,76.51
150,n8870,150,150,0,229,71,100.00,76.33
151,po0397,151,151,0,230,72,100.00,76.16
152,po0304,152,152,0,232,72,100.00,76.32
153,po0354,153,153,0,234,72,100.00,76.47
154,po0281,154,154,0,235,73,100.00,76.30
155,po0317,155,155,0,237,73,100.00,76.45
156,po0435,156,156,0,238,74,100.00,76.28
157,po0320,157,157,0,240,74,100.00,76.43
158,po0306,158,158,0,242,74,100.00,76.58
159,po0868,159,159,0,243,75,100.00,76.42
160,po0870,160,160,0,244,76,100.00,76.25
161,po0864,161,161,0,245,77,100.00,76.09
162,po0314,162,162,0,247,77,100.00,76.23
163,po0319,163,163,0,249,77,100.00,76.38
164,po0846,164,164,0,250,78,100.00,76.22
165,po0419,165,165,0,252,78,100.00,76.36
166,po0834,166,166,0,253,79,100.00,76.20
167,po0828,167,167,0,254,80,100.00,76.05
168,po0835,168,168,0,255,81,100.00,75.89
169,po0839,169,169,0,256,82,100.00,75.74
170,po0353,170,170,0,257,83,100.00,75.59
171,po0827,171,171,0,258,84,100.00,75.44
172,po0313,172,172,0,260,84,100.00,75.58
173,po0322,173,173,0,262,84,100.00,75.72
174,po0321,174,174,0,264,84,100.00,75.86
175,po0436,175,175,0,265,85,100.00,75.71
176,po0172,176,176,0,266,86,100.00,75.57
177,po0171,177,177,0,267,87,100.00,75.42
178,po0428,178,178,0,268,88,100.00,75.28
179,n17049,179,179,0,269,89,100.00,75.14
180,po0296,180,180,0,270,90,100.00,75.00
181,po0295,181,181,0,271,91,100.00,74.86
182,po0439,182,182,0,273,91,100.00,75.00
183,po0426,183,183,0,275,91,100.00,75.14
184,po0438,184,184,0,277,91,100.00,75.27
185,po0437,185,185,0,279,91,100.00,75.41
186,po0197,186,186,0,280,92,100.00,75.27
187,po0355,187,187,0,282,92,100.00,75.40
188,n17048,188,188,0,283,93,100.00,75.27
189,po0367,189,189,0,285,93,100.00,75.40
190,po0369,190,190,0,287,93,100.00,75.53
191,po0371,191,191,0,289,93,100.00,75.65
192,po0378,192,192,0,291,93,100.00,75.78
193,n13026,193,193,0,292,94,100.00,75.65
194,po0368,194,194,0,294,94,100.00,75.77
195,po0373,195,195,0,296,94,100.00,75.90
196,po0467,196,196,0,297,95,100.00,75.77
197,po0370,197,197,0,299,95,100.00,75.89
198,po0382,198,198,0,300,96,100.00,75.76
199,po0364,199,199,0,302,96,100.00,75.88
200,po0365,200,200,0,304,96,100.00,76.00
201,po0926,201,201,0,306,96,100.00,76.12
202,po0205,202,202,0,307,97,100.00,75.99
203,po0376,203,203,0,309,97,100.00,76.11
204,po0401,204,204,0,310,98,100.00,75.98
205,po0724,205,205,0,312,98,100.00,76.10
206,po0193,206,206,0,313,99,100.00,75.97
207,po0277,207,207,0,315,99,100.00,76.09
208,po0356,208,208,0,317,99,100.00,76.20
209,n8872,209,209,0,318,100,100.00,76.08
210,po0190,210,210,0,319,101,100.00,75.95
211,po0274,211,211,0,320,102,100.00,75.83
212,po0312,212,212,0,322,102,100.00,75.94
213,po0273,213,213,0,323,103,100.00,75.82
214,po0272,214,214,0,324,104,100.00,75.70
215,n8868,215,215,0,325,105,100.00,75.58
216,po0904,216,216,0,327,105,100.00,75.69
217,po0443,217,217,0,328,106,100.00,75.58
218,po0614,218,218,0,330,106,100.00,75.69
219,po0183,219,219,0,332,106,100.00,75.80
220,po0446,220,220,0,333,107,100.00,75.68
221,po0284,221,221,0,334,108,100.00,75.57
222,po0983,222,222,0,335,109,100.00,75.45
223,po0985,223,223,0,336,110,100.00,75.34
224,po0982,224,224,0,337,111,100.00,75.22
225,po0984,225,225,0,338,112,100.00,75.11
226,po0253,226,226,0,339,113,100.00,75.00
227,po0624,227,227,0,340,114,100.00,74.89
228,po0746,228,228,0,342,114,100.00,75.00
229,po0246,229,229,0,343,115,100.00,74.89
230,po0208,230,230,0,344,116,100.00,74.78
231,po0271,231,231,0,345,117,100.00,74.68
232,po0399,232,232,0,346,118,100.00,74.57
233,po0878,233,233,0,348,118,100.00,74.68
234,po0229,234,234,0,349,119,100.00,74.57
235,po0262,235,235,0,350,120,100.00,74.47
236,n12146,236,235,1,350,122,99.58,74.15
237,po0380,237,236,1,352,122,99.58,74.26
238,po0631,238,237,1,354,122,99.58,74.37
239,po0632,239,238,1,356,122,99.58,74.48
240,po0623,240,239,1,358,122,99.58,74.58
241,po0630,241,240,1,360,122,99.59,74.69
242,n41740,242,240,2,360,124,99.17,74.38
243,po0227,243,241,2,361,125,99.18,74.28
244,po0379,244,242,2,363,125,99.18,74.39
245,po0381,245,243,2,365,125,99.18,74.49
246,po0357,246,244,2,367,125,99.19,74.59
247,po0252,247,245,2,368,126,99.19,74.49
248,n42133,248,245,3,368,128,98.79,74.19
249,n10000,249,245,4,368,130,98.39,73.90
250,po0442,250,246,4,369,131,98.40,73.80
251,po0384,251,247,4,370,132,98.41,73.71
252,n13024,252,248,4,371,133,98.41,73.61
253,po0280,253,249,4,372,134,98.42,73.52
254,po0266,254,250,4,373,135,98.43,73.43
255,po0255,255,251,4,374,136,98.43,73.33
256,po0459,256,252,4,376,136,98.44,73.44
257,po0932,257,253,4,378,136,98.44,73.54
258,n40766,258,253,5,378,138,98.06,73.26
259,n15593,259,254,5,379,139,98.07,73.17
260,po0626,260,255,5,381,139,98.08,73.27
261,po0627,261,256,5,383,139,98.08,73.37
262,po0629,262,257,5,385,139,98.09,73.47
263,po0628,263,258,5,387,139,98.10,73.57
264,po0622,264,259,5,389,139,98.11,73.67
265,po0198,265,260,5,390,140,98.11,73.58
266,po0471,266,261,5,392,140,98.12,73.68
267,po0233,267,262,5,393,141,98.13,73.60
268,po0241,268,263,5,394,142,98.13,73.51
269,po0385,269,264,5,395,143,98.14,73.42
270,po0383,270,265,5,397,143,98.15,73.52
271,po0224,271,266,5,398,144,98.15,73.43
272,po0222,272,267,5,399,145,98.16,73.35
273,po0230,273,268,5,400,146,98.17,73.26
274,po0250,274,269,5,401,147,98.18,73.18
275,po0239,275,270,5,402,148,98.18,73.09
276,po0261,276,271,5,403,149,98.19,73.01
277,po0240,277,272,5,404,150,98.19,72.92
278,po0759,278,273,5,405,151,98.20,72.84
279,n8866,279,274,5,406,152,98.21,72.76
280,po1063,280,275,5,408,152,98.21,72.86
281,po0254,281,276,5,409,153,98.22,72.78
282,po0294,282,277,5,410,154,98.23,72.70
283,po0264,283,278,5,411,155,98.23,72.61
284,po0928,284,279,5,413,155,98.24,72.71
285,po0207,285,280,5,414,156,98.25,72.63
286,po0196,286,281,5,415,157,98.25,72.55
287,po0228,287,282,5,416,158,98.26,72.47
288,po0212,288,283,5,417,159,98.26,72.40
289,po0215,289,284,5,418,160,98.27,72.32
290,po0489,290,285,5,419,161,98.28,72.24
291,po0633,291,286,5,420,162,98.28,72.16
292,n15313,292,287,5,421,163,98.29,72.09
293,po0213,293,288,5,422,164,98.29,72.01
294,po0407,294,289,5,423,165,98.30,71.94
295,po0223,295,290,5,424,166,98.31,71.86
296,n12151,296,291,5,425,167,98.31,71.79
297,po0286,297,292,5,426,168,98.32,71.72
298,po0219,298,293,5,427,169,98.32,71.64
299,po0288,299,294,5,428,170,98.33,71.57
300,po1017,300,295,5,430,170,98.33,71.67
301,po1034,301,296,5,432,170,98.34,71.76
302,po1033,302,297,5,434,170,98.34,71.85
303,po1025,303,298,5,436,170,98.35,71.95
304,n14729,304,299,5,437,171,98.36,71.88
305,po0217,305,300,5,438,172,98.36,71.80
306,po1035,306,301,5,440,172,98.37,71.90
307,po0275,307,302,5,441,173,98.37,71.82
308,po0389,308,303,5,442,174,98.38,71.75
309,n42845,309,304,5,443,175,98.38,71.68
310,po0214,310,305,5,444,176,98.39,71.61
311,po0744,311,306,5,446,176,98.39,71.70
312,po0247,312,307,5,447,177,98.40,71.63
313,po0393,313,308,5,448,178,98.40,71.57
314,po0760,314,309,5,450,178,98.41,71.66
315,po0218,315,310,5,451,179,98.41,71.59
316,po0922,316,311,5,453,179,98.42,71.68
317,po0243,317,312,5,454,180,98.42,71.61
318,n15460,318,312,6,454,182,98.11,71.38
319,po0888,319,313,6,456,182,98.12,71.47
320,po0445,320,314,6,457,183,98.12,71.41
321,n15596,321,315,6,458,184,98.13,71.34
322,n43118,322,316,6,460,184,98.14,71.43
323,n40762,323,316,7,460,186,97.83,71.21
324,po0211,324,317,7,461,187,97.84,71.14
325,po0625,325,318,7,463,187,97.85,71.23
326,po0204,326,319,7,464,188,97.85,71.17
327,n37356,327,320,7,465,189,97.86,71.10
328,n41970,328,320,8,465,191,97.56,70.88
329,po0220,329,321,8,466,192,97.57,70.82
330,po0231,330,322,8,467,193,97.58,70.76
331,po0761,331,323,8,469,193,97.58,70.85
332,po0781,332,324,8,471,193,97.59,70.93
333,po0251,333,325,8,472,194,97.60,70.87
334,n41161,334,325,9,472,196,97.31,70.66
335,n15607,335,326,9,474,196,97.31,70.75
336,po0488,336,327,9,475,197,97.32,70.68
337,po0487,337,328,9,476,198,97.33,70.62
338,po0235,338,329,9,477,199,97.34,70.56
339,n43116,339,330,9,478,200,97.35,70.50
340,po0256,340,331,9,479,201,97.35,70.44
341,po0916,341,332,9,481,201,97.36,70.53
342,po0182,342,333,9,482,202,97.37,70.47
343,po0248,343,334,9,483,203,97.38,70.41
344,po0456,344,335,9,484,204,97.38,70.35
345,po0269,345,336,9,485,205,97.39,70.29
346,n36751,346,337,9,486,206,97.40,70.23
347,n41155,347,337,10,486,208,97.12,70.03
348,n41741,348,337,11,486,210,96.84,69.83
349,n14845,349,338,11,487,211,96.85,69.77
350,po0470,350,339,11,488,212,96.86,69.71
351,po0358,351,340,11,490,212,96.87,69.80
352,po0360,352,341,11,492,212,96.88,69.89
353,po0361,353,342,11,494,212,96.88,69.97
354,po0359,354,343,11,496,212,96.89,70.06
355,po0377,355,344,11,498,212,96.90,70.14
356,po0375,356,345,11,500,212,96.91,70.22
357,po0221,357,346,11,501,213,96.92,70.17
358,n37923,358,346,12,501,215,96.65,69.97
359,po0362,359,347,12,503,215,96.66,70.06
360,po0363,360,348,12,505,215,96.67,70.14
361,po0232,361,349,12,506,216,96.68,70.08
362,po0226,362,350,12,507,217,96.69,70.03
363,po0714,363,351,12,509,217,96.69,70.11
364,po0752,364,352,12,511,217,96.70,70.19
365,po0662,365,353,12,513,217,96.71,70.27
366,po0701,366,354,12,515,217,96.72,70.36
367,po1031,367,355,12,517,217,96.73,70.44
368,po0727,368,356,12,519,217,96.74,70.52
369,po0675,369,357,12,521,217,96.75,70.60
370,po0680,370,358,12,523,217,96.76,70.68
371,po0758,371,359,12,525,217,96.77,70.75
372,po0930,372,360,12,527,217,96.77,70.83
373,po0268,373,361,12,528,218,96.78,70.78
374,po0469,374,362,12,529,219,96.79,70.72
375,po0803,375,363,12,531,219,96.80,70.80
376,po0789,376,364,12,533,219,96.81,70.88
