topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n525,1,1,0,2,0,100.00,100.00
2,n2118,2,2,0,4,0,100.00,100.00
3,n2535,3,3,0,6,0,100.00,100.00
4,n2112,4,4,0,8,0,100.00,100.00
5,n2552,5,5,0,9,1,100.00,90.00
6,n2532,6,6,0,10,2,100.00,83.33
7,n2534,7,7,0,12,2,100.00,85.71
8,n3533,8,8,0,14,2,100.00,87.50
9,n2528,9,9,0,15,3,100.00,83.33
10,n2100,10,9,1,15,5,90.00,75.00
11,n2105,11,10,1,17,5,90.91,77.27
12,n2533,12,11,1,19,5,91.67,79.17
13,n2093,13,11,2,19,7,84.62,73.08
14,n2484,14,12,2,21,7,85.71,75.00
15,n3722,15,13,2,22,8,86.67,73.33
16,n3512,16,14,2,23,9,87.50,71.88
17,n2149,17,15,2,25,9,88.24,73.53
18,n2076,18,15,3,25,11,83.33,69.44
19,n3496,19,16,3,26,12,84.21,68.42
20,n3488,20,16,4,26,14,80.00,65.00
21,n3528,21,17,4,27,15,80.95,64.29
22,n3479,22,17,5,27,17,77.27,61.36
23,n3471,23,17,6,27,19,73.91,58.70
24,n3870,24,18,6,29,19,75.00,60.42
25,n2227,25,19,6,31,19,76.00,62.00
26,n2228,26,20,6,33,19,76.92,63.46
27,n3455,27,20,7,33,21,74.07,61.11
28,n2147,28,21,7,35,21,75.00,62.50
29,n2531,29,22,7,36,22,75.86,62.07
30,n2607,30,23,7,37,23,76.67,61.67
31,n3718,31,24,7,38,24,77.42,61.29
32,n2141,32,25,7,40,24,78.12,62.50
33,n2068,33,25,8,40,26,75.76,60.61
34,n3717,34,25,9,40,28,73.53,58.82
35,n3531,35,26,9,42,28,74.29,60.00
36,n2590,36,27,9,43,29,75.00,59.72
37,n3257,37,28,9,44,30,75.68,59.46
38,n2145,38,29,9,46,30,76.32,60.53
39,n2146,39,30,9,48,30,76.92,61.54
40,n3446,40,30,10,48,32,75.00,60.00
41,n2142,41,31,10,50,32,75.61,60.98
42,n2139,42,32,10,52,32,76.19,61.90
43,n2211,43,33,10,54,32,76.74,62.79
44,n3258,44,34,10,55,33,77.27,62.50
45,n2562,45,35,10,56,34,77.78,62.22
46,n2140,46,36,10,58,34,78.26,63.04
47,n2152,47,37,10,60,34,78.72,63.83
48,n2136,48,38,10,62,34,79.17,64.58
49,n2115,49,39,10,64,34,79.59,65.31
