topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n21858,1,1,0,1,1,100.00,50.00
2,n17677,2,2,0,2,2,100.00,50.00
3,n17021,3,3,0,3,3,100.00,50.00
4,n18345,4,4,0,4,4,100.00,50.00
5,n21149,5,5,0,5,5,100.00,50.00
6,n16377,6,6,0,6,6,100.00,50.00
7,n11813,7,7,0,7,7,100.00,50.00
8,n19025,8,8,0,8,8,100.00,50.00
9,n23310,9,9,0,9,9,100.00,50.00
10,n15745,10,10,0,10,10,100.00,50.00
11,n12361,11,11,0,11,11,100.00,50.00
12,n11277,12,12,0,12,12,100.00,50.00
13,n22578,13,13,0,13,13,100.00,50.00
14,n15125,14,14,0,14,14,100.00,50.00
15,n14517,15,15,0,15,15,100.00,50.00
16,n20451,16,16,0,16,16,100.00,50.00
17,n19717,17,17,0,17,17,100.00,50.00
18,n17045,18,18,0,18,18,100.00,50.00
19,n16401,19,19,0,19,19,100.00,50.00
20,n15769,20,20,0,20,20,100.00,50.00
21,n13433,21,21,0,21,21,100.00,50.00
22,n10753,22,22,0,22,22,100.00,50.00
23,n12325,23,23,0,23,23,100.00,50.00
24,n14017,24,24,0,24,24,100.00,50.00
25,n17701,25,25,0,25,25,100.00,50.00
26,n11265,26,26,0,26,26,100.00,50.00
27,n10741,27,27,0,27,27,100.00,50.00
28,n20440,28,28,0,28,28,100.00,50.00
29,n20424,29,29,0,30,28,100.00,51.72
30,n12885,30,30,0,31,29,100.00,51.67
31,n11801,31,31,0,32,30,100.00,51.61
32,n11777,32,32,0,33,31,100.00,51.56
33,n13921,33,33,0,34,32,100.00,51.52
34,n15149,34,34,0,35,33,100.00,51.47
35,n10229,35,35,0,36,34,100.00,51.43
36,n13499,36,36,0,37,35,100.00,51.39
37,n23305,37,37,0,38,36,100.00,51.35
38,n12861,38,38,0,39,37,100.00,51.32
39,n14613,39,39,0,40,38,100.00,51.28
40,n11241,40,40,0,41,39,100.00,51.25
41,n12301,41,41,0,42,40,100.00,51.22
