filename,nodes,actual_mode,v1_feat_time,v1_train_time,v1_total_time,success
adder.v,2296,v1,0.4713,2.3197,2.7910,True
arbiter.v,23934,v1,27.7314,2.8745,30.6059,True
bar.v,6807,v1,2.7238,1.6137,4.3374,True
cavlc.v,1396,v1,0.1597,1.4128,1.5724,True
ctrl.v,357,v1,0.0247,1.3890,1.4137,True
dec.v,616,v1,0.0398,1.4095,1.4493,True
div.v,114622,v1,151.0093,19.1543,170.1636,True
hyp.v,428926,v1,3448.0933,199.5924,3647.6857,True
i2c.v,2861,v1,0.3979,1.5001,1.8980,True
int2float.v,531,v1,0.0300,1.4113,1.4413,True
log2.v,64152,v1,71.9113,7.4432,79.3545,True
max.v,6242,v1,3.2309,1.5507,4.7817,True
mem_ctrl.v,95424,v1,80.2237,13.9831,94.2068,True
multiplier.v,54252,v1,42.2021,5.9455,48.1477,True
priority.v,2084,v1,0.3502,1.4968,1.8470,True
router.v,628,v1,0.0615,1.3889,1.4504,True
sin.v,10856,v1,8.4132,1.6855,10.0987,True
sqrt.v,49364,v1,187.7244,5.0194,192.7438,True
square.v,37036,v1,75.8101,3.3013,79.1113,True
voter.v,28517,v1,43.8016,3.3959,47.1975,True
